Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
312,4,01:01,1,,,,,,,,,,,,,,
312,4,01:02,2,,,,,,,,,,,,,,
312,4,01:03,3,,,,,,,,,,,,,,
312,4,01:04,4,,,,0.380643,,,,,,,,,,0.003334
312,4,01:05,5,,,,,,,,,,,,,,
312,4,01:06,6,,,,,,,,,,,,,,
312,4,01:07,7,,,,0.749515,,,,,,,,,,0.0319
312,4,01:08,8,,,,,,,,,,,,,,
312,4,01:09,9,,,,,,,,,,,,,,
312,4,01:10,10,,,,,,,,,,,,,,
312,4,01:11,11,,,,1.225007,,,,,,,,,,0.041678
312,4,01:12,12,,,,,,,,,,,,,,
312,4,01:13,13,,,,1.501866,,,,,,,,,,0.005814
312,4,01:14,14,,,,,,,,,,,,,,
312,4,01:15,15,,,,,,,,,,,,,,
312,4,01:16,16,,,,1.827094,,,,,,,,,,0.038461
312,4,02:01,1,,,,1.958665,,,,,,,,,,0.039983
312,4,02:02,2,,,,,,,,,,,,,,
312,4,02:03,3,,,,,,,,,,,,,,
312,4,02:04,4,,,2.316579,2.294973,,,,,0.5,4,,,0.024238,0.040845
312,4,02:05,5,,,,,,,,,,,,,,
312,4,02:06,6,,,,,,,,,,,,,,
312,4,02:07,7,,,2.649214,2.645506,,,,,1,3.5,,,0.019007,0.027351
312,4,02:08,8,,,,,,,,,,,,,,
312,4,02:09,9,,,,,,,,,,,,,,
312,4,02:10,10,,,,,,,,,,,,,,
312,4,02:11,11,,,3.146107,3.113954,,,,,1.5,3.5,,,0.014218,0.003746
312,4,02:12,12,,,,,,,,,,,,,,
312,4,02:13,13,,,3.401772,3.379995,,,,,2,4,,,0.014185,0.015992
312,4,02:14,14,,,,,,,,,,,,,,
312,4,02:15,15,,,,,,,,,,,,,,
312,4,02:16,16,,,3.724177,3.717459,,,,,2.5,4,,,0.006986,0.042583
312,4,03:01,1,,,3.8796,3.840383,,,,,3.5,4,,,0.021516,0.035704
312,4,03:02,2,,,,,,,,,,,,,,
312,4,03:03,3,,,,,,,,,,,,,,
312,4,03:04,4,,,4.186156,4.178882,,,,,4,4,,,0.026014,0.03618
312,4,03:05,5,,,,,,,,,,,,,,
312,4,03:06,6,,,,,,,,,,,,,,
312,4,03:07,7,,,4.518026,4.541663,,,,,4,4,,,0.017473,0.028565
312,4,03:08,8,,,,,,,,,,,,,,
312,4,03:09,9,,,,,,,,,,,,,,
312,4,03:10,10,,,,,,,,,,,,,,
312,4,03:11,11,,,5.005556,4.977961,,,,,4,4,,,0.026476,0.055667
312,4,03:12,12,,,,,,,,,,,,,,
312,4,03:13,13,,,5.2564,5.245474,,,,,4,3.5,,,0.013349,0.01592
312,4,03:14,14,,,,,,,,,,,,,,
312,4,03:15,15,,,,,,,,,,,,,,
312,4,03:16,16,,,5.586039,5.559477,,,,,4,3.5,,,0.011472,0.041591
312,4,04:01,1,,,5.73887,5.701913,,,,,4.5,4,,,0.032768,0.040327
312,4,04:02,2,,,,,,,,,,,,,,
312,4,04:03,3,,,,,,,,,,,,,,
312,4,04:04,4,,,6.051458,6.044836,,,,,4,3.5,,,0.034889,0.043391
312,4,04:05,5,,,,,,,,,,,,,,
312,4,04:06,6,,,,,,,,,,,,,,
312,4,04:07,7,,,6.391214,6.396353,,,,,4,3.5,,,0.024541,0.031807
312,4,04:08,8,,,,,,,,,,,,,,
312,4,04:09,9,,,,,,,,,,,,,,
312,4,04:10,10,,,,,,,,,,,,,,
312,4,04:11,11,,,6.854258,6.845849,,,,,4,3.5,,,0.027449,0.046356
312,4,04:12,12,,,,,,,,,,,,,,
312,4,04:13,13,,,7.099697,7.106074,,,,,4,3.5,,,0.015306,0.022961
312,4,04:14,14,,,,,,,,,,,,,,
312,4,04:15,15,,,,,,,,,,,,,,
312,4,04:16,16,,,7.438547,7.423615,,,,,4,3.5,,,0.007831,0.038327
312,4,05:01,1,,,7.589331,7.570384,,,,,4.5,3.5,,,0.060052,0.012881
312,4,05:02,2,,,,,,,,,,,,,,
312,4,05:03,3,7.777114,,,,,,1,,,,0.157,,,
312,4,05:04,4,7.877163,,7.913715,7.887656,,,1.5,,5.5,4.5,0.458894,,0.099287,0.018954
312,4,05:05,5,,,,,,,,,,,,,,
312,4,05:06,6,8.116791,,,,,,2,,,,0.158682,,,
312,4,05:07,7,8.227202,,8.229581,8.229674,,,2.5,,6,5,0.151921,,0.02784,0.004659
312,4,05:08,8,8.339706,,,,,,3,,,,0.474208,,,
