Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
242,3,01:01,1,,,2.041233,,,,,,,,,,0.042175,
242,3,01:02,2,,,2.179983,,,,,,15.5,,,,0.040058,
242,3,01:03,3,,,2.310396,,,,,,15.5,,,,0.040824,
242,3,01:04,4,,,2.453319,,,,,,15.5,,,,0.053346,
242,3,01:05,5,,,2.588909,,,,,,15.5,,,,0.051804,
242,3,01:06,6,,,2.728898,,,,,,15.5,,,,0.032741,
242,3,01:07,7,,,2.860535,,,,,,15.5,,,,0.033611,
242,3,01:08,8,,,2.996942,,,,,,15,,,,0.047194,
242,3,01:09,9,,,3.210116,,,,,,15,,,,0.055427,
242,3,01:10,10,,,3.342765,,,,,,15,,,,0.059456,
242,3,01:11,11,,,3.471869,,,,,,15,,,,0.066255,
242,3,01:12,12,,,3.606707,,,,,,15,,,,0.069531,
242,3,01:13,13,,,3.743088,,,,,,15,,,,0.074202,
242,3,01:14,14,,,3.879255,,,,,,15,,,,0.090396,
242,3,01:15,15,,,4.012154,,,,,,15,,,,0.074655,
242,3,01:16,16,,,4.14537,,,,,,15,,,,0.079196,
242,3,02:01,1,,,4.28367,,,,,,15,,,,0.090324,
242,3,02:02,2,,,4.4831,,,,,,15,,,,0.064963,
242,3,02:03,3,,,4.616631,,,,,,15,,,,0.039328,
242,3,02:04,4,,,4.754132,,,,,,15,,,,0.046011,
242,3,02:05,5,,,4.88923,,,,,,15,,,,0.029891,
242,3,02:06,6,,,5.018247,,,,,,15,,,,0.057241,
242,3,02:07,7,,,5.147359,,,,,,15,,,,0.039774,
242,3,02:08,8,,,5.282083,,,,,,15,,,,0.053343,
242,3,02:09,9,,,5.413035,,,,,,15,,,,0.066184,
242,3,02:10,10,,,5.629011,,,,,,15,,,,0.085676,
242,3,02:11,11,,,5.760679,,,,,,15,,,,0.078608,
242,3,02:12,12,,,5.900234,,,,,,15,,,,0.070706,
242,3,02:13,13,,,6.035071,,,,,,15,,,,0.089749,
242,3,02:14,14,,,6.169483,,,,,,15,,,,0.073088,
242,3,02:15,15,,,6.30269,,,,,,15,,,,0.081924,
