Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
232,3,06:10,10,10.200268,10.191063,10.206285,,,,9,9,9,,0.149776,0.214694,0.458969,
232,3,06:11,11,10.294602,10.31096,10.314699,,,,9.5,9,9,,0.21192,0.190209,0.338997,
232,3,06:12,12,10.39379,10.419567,10.415671,,,,9.5,9,9,,0.259395,0.208147,0.223175,
232,3,06:13,13,10.524523,10.538414,10.546326,,,,9,9,9,,0.426905,0.106114,0.009959,
232,3,06:14,14,10.644762,10.647525,,,,,9,9,,,0.139377,0.059605,,
232,3,06:15,15,10.744791,10.766184,,,,,9.5,9,,,0.205309,0.024639,,
232,3,06:16,16,10.843393,,,,,,9.5,,,,0.268052,,,
232,3,07:01,1,10.969469,10.976547,,,,,9,9,,,0.487674,0.078802,,
232,3,07:02,2,11.09484,11.075227,11.101598,,,,9,9,8.5,,0.167446,0.176299,0.365495,
232,3,07:03,3,11.189306,11.189198,11.195134,,,,9.5,9,9,,0.193135,0.448467,0.32645,
232,3,07:04,4,11.29182,11.294341,11.29951,,,,9.5,8.5,9,,0.083694,0.027999,0.241434,
232,3,07:05,5,11.413306,11.407591,11.430266,,,,9.5,8.5,8.5,,0.275013,0.199589,0.013512,
232,3,07:06,6,11.53487,11.522789,,,,,9,8.5,,,0.191035,0.21632,,
232,3,07:07,7,11.632493,11.643863,11.633266,,,,9.5,9,9,,0.158904,0.038487,0.333132,
232,3,07:08,8,11.743651,11.769796,,,,,9.5,9,,,0.158655,0.210055,,
232,3,07:09,9,11.873314,11.867515,11.885093,,,,9,9.5,8,,0.338137,0.056515,0.43307,
232,3,07:10,10,11.984283,11.959559,,,,,9,9.5,,,0.12619,0.20214,,
232,3,07:11,11,12.080714,12.076332,12.086581,,,,9,9.5,7.5,,0.144848,0.230579,0.33559,
232,3,07:12,12,12.179971,12.186848,,,,,9.5,9.5,,,0.224115,0.252836,,
232,3,07:13,13,12.318042,12.320217,12.338559,,,,9,9,7,,0.341975,0.102521,0.008671,
232,3,07:14,14,12.432854,12.42193,,,,,9,9,,,0.139629,0.096041,,
232,3,07:15,15,12.533891,12.545262,,,,,9,9,,,0.127847,0.057004,,
232,3,07:16,16,12.62818,12.637695,,,,,9.5,9.5,,,0.183961,0.16143,,
232,3,08:01,1,12.761392,12.764777,,,,,9,9.5,,,0.407717,0.222012,,
232,3,08:02,2,12.882068,12.872391,12.882309,,,,9,9,6.5,,0.12589,0.311875,0.417731,
232,3,08:03,3,12.98718,12.97802,12.982916,,,,9,9,6.5,,0.208457,0.402148,0.28941,
232,3,08:04,4,13.087425,13.089942,13.083635,,,,9.5,9,7,,0.169661,0.042629,0.409606,
232,3,08:05,5,13.21685,,13.214229,,,,9,,6.5,,0.316535,,0.011563,
232,3,08:06,6,13.317305,13.311835,,,,,9,9,,,0.118979,0.031648,,
232,3,08:07,7,13.429713,13.420745,,,,,9,9,,,0.165825,0.139432,,
232,3,08:08,8,13.529305,13.522299,,,,,9.5,9.5,,,0.149092,0.171954,,
232,3,08:09,9,13.661216,13.652028,,,,,9,9,,,0.283334,0.059443,,
232,3,08:10,10,13.761858,13.764653,13.776715,,,,9,9.5,6,,0.129438,0.15128,0.433126,
232,3,08:11,11,13.872131,13.874684,13.875765,,,,9.5,9,6.5,,0.153764,0.153425,0.286091,
232,3,08:12,12,13.96503,13.975755,13.98268,,,,9.5,9,6.5,,0.274732,0.22957,0.396918,
232,3,08:13,13,14.105166,14.103233,14.106712,,,,9,9,6.5,,0.216566,0.09931,0.006602,
232,3,08:14,14,14.221205,14.197886,,,,,9,9,,,0.083717,0.066976,,
232,3,08:15,15,14.323804,14.323458,,,,,9,9,,,0.137873,0.018487,,
232,3,08:16,16,14.419967,14.418559,,,,,9.5,9.5,,,0.304147,0.306188,,
232,3,09:01,1,14.553303,14.545219,,,,,9,9.5,,,0.273075,0.104724,,
232,3,09:02,2,14.67319,14.650447,14.670733,,,,9,9,7,,0.129112,0.157902,0.449826,
232,3,09:03,3,14.771816,14.756695,14.763991,,,,9,9.5,7.5,,0.12307,0.487456,0.442062,
232,3,09:04,4,14.87062,14.860901,14.866276,,,,9.5,9.5,7.5,,0.119204,0.017639,0.301898,
232,3,09:05,5,14.999646,14.986492,15.01172,,,,9,9,7,,0.274724,0.247019,0.010762,
232,3,09:06,6,15.122037,15.098672,,,,,9,9,,,0.110055,0.197025,,
232,3,09:07,7,15.218594,15.22145,,,,,9,9,,,0.100841,0.053872,,
232,3,09:08,8,15.320907,15.315838,,,,,9,9,,,0.12722,0.290306,,
232,3,09:09,9,15.458569,15.448547,,,,,9,9,,,0.33873,0.109334,,
232,3,09:10,10,15.561213,15.545817,15.570774,,,,9,9,7,,0.115737,0.186501,0.380601,
232,3,09:11,11,15.664226,15.66424,15.663569,,,,9,9,7.5,,0.199514,0.249242,0.37365,
232,3,09:12,12,15.763975,15.770023,15.765918,,,,9,9,7.5,,0.277699,0.291322,0.382927,
232,3,09:13,13,15.899466,15.904843,15.90808,,,,9,9,7,,0.415896,0.110979,0.009391,
232,3,09:14,14,16.003059,16.012218,,,,,9,9,,,0.196924,0.068556,,
232,3,09:15,15,16.1117,16.136125,,,,,9,9,,,0.149674,0.049467,,
232,3,09:16,16,16.214878,16.223034,,,,,9.5,9,,,0.171242,0.360355,,
232,3,10:01,1,16.348088,16.348564,,,,,9,9,,,0.497072,0.065564,,
232,3,10:02,2,16.463281,16.451267,16.468026,,,,9,9,7.5,,0.096983,0.152739,0.344524,
232,3,10:03,3,16.563786,16.567523,16.564916,,,,9,9,7.5,,0.114405,0.462721,0.31683,
232,3,10:04,4,16.655653,16.669634,16.670471,,,,9.5,9,8,,0.170223,0.195922,0.39276,
232,3,10:05,5,16.787706,,16.7984,,,,9,,7.5,,0.349641,,0.006386,
232,3,10:06,6,16.907136,16.899881,,,,,9,8.5,,,0.088759,0.190435,,
232,3,10:07,7,17.012132,17.027022,17.017704,,,,9,8.5,7.5,,0.107577,0.035851,0.00653,
232,3,10:08,8,17.11268,17.116876,,,,,9.5,8.5,,,0.126186,0.249385,,
232,3,10:09,9,17.240229,17.251223,17.265082,,,,9,8.5,8,,0.262195,0.060168,0.323171,
232,3,10:10,10,17.355816,17.347963,,,,,9,8.5,,,0.103494,0.22474,,
232,3,10:11,11,17.453539,17.469302,17.468921,,,,9.5,8.5,8,,0.113801,0.221628,0.470717,
232,3,10:12,12,17.559462,17.574724,,,,,9.5,8.5,,,0.2287,0.270153,,
232,3,10:13,13,17.704875,17.707202,17.719642,,,,9,8.5,7.5,,0.331036,0.098816,0.015158,
232,3,10:14,14,17.821894,17.812528,,,,,9,8.5,,,0.098988,0.064833,,
232,3,10:15,15,17.930416,17.934322,,,,,9,8.5,,,0.214943,0.02081,,
232,3,10:16,16,18.033184,18.028966,,,,,9,8.5,,,0.146053,0.30675,,
232,3,11:01,1,18.160614,18.16515,,,,,9,8.5,,,0.312862,0.055009,,
232,3,11:02,2,18.282522,18.27608,18.27808,,,,9,8.5,7.5,,0.124141,0.1262,0.412504,
232,3,11:03,3,18.384904,18.389794,18.375776,,,,9,8.5,7.5,,0.211464,0.341153,0.309727,
232,3,11:04,4,18.488376,18.489712,18.479574,,,,9,8.5,7.5,,0.169679,0.091229,0.323115,
232,3,11:05,5,18.619793,18.617784,18.610953,,,,9,8.5,7.5,,0.365288,0.117966,0.006646,
232,3,11:06,6,18.72395,18.725032,,,,,9,8.5,,,0.13969,0.139204,,
232,3,11:07,7,18.834022,18.847578,18.82573,,,,9,9,7.5,,0.125657,0.050719,0.012821,
232,3,11:08,8,18.946362,18.937582,,,,,9,9,,,0.120798,0.363475,,
232,3,11:09,9,19.074753,19.063391,19.075691,,,,9,9,8,,0.481139,0.03494,0.266785,
232,3,11:10,10,19.187692,19.16825,,,,,9,9,,,0.12353,0.208521,,
232,3,11:11,11,19.28876,19.28991,19.287254,,,,9,9,7.5,,0.235354,0.197721,0.537971,
232,3,11:12,12,19.387247,19.398341,,,,,9,9,,,0.313084,0.375361,,
232,3,11:13,13,19.524902,19.528853,19.530118,,,,9,9,7.5,,0.307878,0.256722,0.015479,
232,3,11:14,14,19.645281,19.63469,,,,,9,9,,,0.066438,0.526354,,
232,3,11:15,15,19.74002,19.727532,,,,,9,9,,,0.246444,0.250756,,
232,3,11:16,16,19.841763,19.85408,,,,,9,9,,,0.252967,0.220676,,
232,3,12:01,1,19.978924,19.993194,,,,,9,9,,,0.37392,0.071495,,
232,3,12:02,2,20.106023,20.081658,20.095066,,,,9,9,7.5,,0.077017,0.133017,0.475386,
232,3,12:03,3,20.199565,20.207878,20.193793,,,,9,9,7.5,,0.126369,0.490356,0.35048,
232,3,12:04,4,20.301162,20.307546,20.294963,,,,9,9,7.5,,0.138637,0.061367,0.293144,
232,3,12:05,5,20.425895,20.433016,20.429193,,,,9,9,7.5,,0.364896,0.150372,0.552199,
232,3,12:06,6,20.538693,20.539125,20.554135,,,,9,9,7.5,,0.158036,0.160338,0.450959,
232,3,12:07,7,20.639347,20.658057,,,,,9,9,,,0.085919,0.036583,,
232,3,12:08,8,20.737449,20.748759,20.749244,,,,9,9,7,,0.126985,0.271388,0.304016,
232,3,12:09,9,20.874951,20.884048,20.896244,,,,9,9,7,,0.258841,0.067777,0.351609,
232,3,12:10,10,20.986743,20.989493,21.015944,,,,9,9,6.5,,0.152091,0.19673,0.272592,
232,3,12:11,11,21.087533,21.107779,,,,,9,9,,,0.095488,0.109986,,
232,3,12:12,12,21.181651,21.214013,21.202091,,,,9.5,9,6.5,,0.187394,0.316454,0.419704,
232,3,12:13,13,21.331112,21.347583,21.341722,,,,9,9,6.5,,0.272609,0.699647,0.018387,
232,3,12:14,14,21.454307,,,,,,9,,,,0.08356,,,
232,3,12:15,15,21.548379,21.549228,,,,,9,8.5,,,0.094433,0.032759,,
232,3,12:16,16,21.652835,,,,,,9,,,,0.182507,,,
