Time,Peak
2.003309,0.010224
2.320015,0.012792
2.529835,0.016589
2.738648,0.01066
2.880445,0.007471
3.199466,0.010965
3.348905,0.011437
3.668346,0.011689
3.794576,0.014167
4.124785,0.018203
4.33778,0.021462
4.546373,0.013709
4.702927,0.016159
5.012364,0.012552
5.158999,0.017468
5.726266,0.351691
5.823835,0.428473
5.928428,0.459925
6.06017,0.336485
6.622086,0.409242
6.729765,0.521545
6.827614,0.386297
6.950547,0.313969
7.061698,0.024289
7.162124,0.015263
7.272045,0.017392
7.399178,0.020018
7.525445,0.606366
7.629995,0.453491
7.730153,0.357839
7.848586,0.289193
7.974864,0.022105
8.078786,0.012333
8.184707,0.010879
8.30415,0.010566
8.408684,0.466127
8.519765,0.480205
8.621332,0.443326
8.75021,0.251248
8.871304,0.015303
8.962446,0.008535
9.069942,0.007732
9.208975,0.009423
9.321974,0.434079
9.429879,0.459409
9.528453,0.327912
9.650334,0.213787
9.771533,0.019406
9.864852,0.011734
9.972879,0.015506
10.086386,0.013413
10.206285,0.379905
10.314699,0.458969
10.415671,0.338997
10.546326,0.223175
10.655649,0.009959
10.849019,0.011152
10.975115,0.017832
11.101598,0.438807
11.195134,0.365495
11.29951,0.32645
11.430266,0.241434
11.544668,0.013512
11.633266,0.362647
11.885093,0.333132
12.086581,0.43307
12.338559,0.33559
12.634018,0.008671
12.767173,0.01748
12.882309,0.560136
12.982916,0.417731
13.083635,0.28941
13.214229,0.409606
13.331522,0.011563
13.666976,0.012469
13.776715,0.394568
13.875765,0.433126
13.98268,0.286091
14.106712,0.396918
14.425725,0.006602
14.558833,0.020729
14.670733,0.363842
14.763991,0.449826
14.866276,0.442062
15.01172,0.301898
15.124689,0.010762
15.464346,0.013375
15.570774,0.367552
15.663569,0.380601
15.765918,0.37365
15.90808,0.382927
16.117054,0.009391
16.220814,0.008194
16.353958,0.015686
16.468026,0.417039
16.564916,0.344524
16.670471,0.31683
16.7984,0.39276
16.915817,0.006386
17.017704,0.474064
17.153966,0.00653
17.265082,0.570683
17.468921,0.323171
17.719642,0.470717
17.835767,0.015158
18.038899,0.01402
18.165788,0.011997
18.27808,0.333142
18.375776,0.412504
18.479574,0.309727
18.610953,0.323115
18.726859,0.006646
18.82573,0.426028
18.91253,0.012821
18.957252,0.008971
19.075691,0.502923
19.287254,0.266785
19.530118,0.537971
19.84742,0.015479
19.984339,0.018743
20.095066,0.365878
20.193793,0.475386
20.294963,0.35048
20.429193,0.293144
20.554135,0.552199
20.749244,0.450959
20.896244,0.304016
21.015944,0.351609
21.202091,0.272592
21.341722,0.419704
21.804289,0.018387
21.900848,0.381651
22.005745,0.419398
22.107255,0.435185
22.250253,0.23381
22.367146,0.681623
22.557908,0.389857
22.705357,0.376125
22.832448,0.284675
23.022317,0.308897
23.172255,0.332626
23.389506,0.012509
23.487128,0.006934
23.63268,0.014947
23.731773,0.412897
23.838963,0.507153
23.939389,0.35979
24.075047,0.220694
24.190748,0.720048
24.387042,0.366945
24.536575,0.386784
24.655961,0.379237
24.852573,0.209213
24.997786,0.249803
25.093388,0.408605
25.204274,0.194678
25.306653,0.241393
25.453203,0.595088
25.571924,0.17599
25.682551,0.008118
25.762229,0.614535
25.915509,0.246329
26.022689,0.792087
26.219637,0.402479
26.370839,0.388561
26.486782,0.367955
26.686037,0.285979
26.830024,0.258965
27.139756,0.69716
27.278071,0.424776
27.587132,0.01603
27.733634,0.008601
27.844418,0.021731
27.942321,0.016238
28.060569,0.009277
28.184722,0.016617
28.306503,0.021659
28.393498,0.018686
28.644979,0.02418
28.757931,0.012396
28.961604,0.006291
29.103813,0.030195
29.216844,0.019413
29.313577,0.015161
29.421847,0.018386
29.550943,0.009773
29.640352,0.020389
29.760113,0.022901
29.864613,0.023769
30.000047,0.018689
30.117067,0.026461
30.215586,0.01578
30.317271,0.01395
30.454046,0.023397
30.574467,0.028819
30.673223,0.006654
30.751804,0.422316
31.015271,0.420695
31.369366,0.020043
31.485324,0.021378
31.58781,0.012571
31.650258,0.473379
31.70213,0.074284
31.764327,0.044413
31.814113,0.016022
31.942099,0.29049
32.280349,0.250919
32.377374,0.177572
32.590309,0.386983
32.748781,0.07231
32.856932,0.367698
33.048853,0.175529
33.190794,0.300943
33.290082,0.386059
33.505906,0.404124
33.653345,0.067702
33.768953,0.330945
33.964562,0.07601
34.107135,0.284625
34.203975,0.238203
34.310619,0.206377
34.410163,0.223338
34.541527,0.438956
34.77144,0.006694
34.878179,0.012124
35.120224,0.02396
35.214868,0.023349
35.455703,0.010445
35.564513,0.03296
35.670535,0.040395
35.91461,0.044431
36.019835,0.019819
36.131171,0.009418
36.3652,0.062893
36.482585,0.028131
36.579694,0.012146
36.688632,0.054403
36.812279,0.009399
36.929547,0.033089
37.022576,0.051979
37.270212,0.012519
37.376768,0.037496
37.477268,0.048508
37.728074,0.042273
37.834221,0.041357
37.931326,0.006506
38.025675,0.345633
38.290002,0.301322
38.480125,0.035058
38.625327,0.337051
38.734441,0.030136
38.849181,0.012166
38.928144,0.381344
39.082689,0.034025
39.203087,0.413729
39.538883,0.392582
39.747464,0.016073
39.836881,0.292562
40.001371,0.034
40.109964,0.273685
40.297521,0.033742
40.436733,0.276924
40.535714,0.034132
40.732413,0.35967
40.891198,0.027528
41.001249,0.331697
41.193802,0.008526
41.340741,0.275816
41.445925,0.248042
41.549692,0.229867
41.651838,0.169879
41.78351,0.450492
42.010523,0.007532
42.107318,0.021793
42.239019,0.0078
42.361676,0.021802
42.443179,0.024974
42.559901,0.007356
42.687649,0.016491
42.805868,0.024937
42.902402,0.020366
43.013114,0.007777
43.138896,0.02198
43.24978,0.023456
43.352099,0.013832
43.44559,0.370311
43.586553,0.301592
43.816046,0.264898
44.039847,0.006301
44.154252,0.017708
44.256649,0.012404
44.355786,0.008008
44.491711,0.013315
44.601257,0.129551
44.942035,0.483494
45.05873,0.009576
45.160771,0.00759
45.257903,0.285737
45.396603,0.167584
45.516461,0.025472
45.606709,0.006731
45.710871,0.010258
45.838777,0.011652
45.953642,0.021763
46.053024,0.375072
46.102182,0.08016
46.18051,0.036857
46.30913,0.043198
46.397825,0.290114
46.605818,0.006664
46.753016,0.278929
46.819484,0.068531
46.968075,0.063159
47.058987,0.288261
47.195349,0.238718
47.316406,0.008938
47.410945,0.255996
47.637905,0.217148
47.693509,0.140339
47.762092,0.204715
47.949287,0.250793
48.085874,0.274368
48.236175,0.214671
48.393336,0.276004
48.551873,0.323029
48.726896,0.013479
48.834163,0.164918
48.975184,0.301317
49.120436,0.298051
49.285989,0.223112
49.442138,0.178146
49.549462,0.013385
49.641318,0.070178
49.739949,0.166683
49.880224,0.338402
50.018171,0.268272
50.176862,0.3586
50.331304,0.220906
50.462382,0.261287
50.584025,0.00953
50.631586,0.304436
50.784659,0.612204
50.849164,0.136776
50.908714,0.046841
51.097229,0.00756
51.223838,0.011744
51.333085,0.018867
51.435027,0.006721
51.669877,0.010356
51.779139,0.466416
51.883439,0.243442
52.116391,0.358024
52.223524,0.27126
52.32373,0.17797
52.430756,0.246001
52.559369,0.339641
52.701383,0.013318
52.775363,0.320338
53.151555,0.017234
53.345848,0.007183
53.472301,0.01589
53.594607,0.548897
53.670323,0.189689
53.735397,0.117674
53.814292,0.015194
53.936821,0.214559
54.227236,0.206451
54.383593,0.011636
54.4967,0.199873
54.692881,0.014524
54.832597,0.233068
55.125171,0.203637
55.393618,0.238122
55.723156,0.294979
55.925106,0.008306
56.030577,0.179033
56.179413,0.019153
56.291561,0.186258
56.468189,0.021008
56.606206,0.162053
56.708231,0.021256
56.812379,0.012248
56.901899,0.205299
57.169179,0.214243
57.363025,0.006413
57.50124,0.157155
57.596962,0.160128
57.712383,0.119875
57.795823,0.151164
57.941826,0.155565
58.052366,0.21207
58.239411,0.249014
58.382892,0.211435
58.490858,0.338598
58.633652,0.041223
58.683858,0.194435
58.837672,0.214379
58.947852,0.214044
59.142202,0.139166
59.278011,0.266388
59.390702,0.013518
59.563933,0.35424
59.711134,0.260148
59.944445,0.006531
60.037593,0.012571
60.256062,0.025554
60.607392,0.018755
60.714027,0.023351
60.834476,0.016675
61.054144,0.01358
61.16309,0.024739
61.26543,0.007939
61.367419,0.007676
61.500081,0.014443
61.618387,0.024509
61.824174,0.013418
61.939138,0.00924
62.055616,0.039125
62.382591,0.008927
62.495858,0.022357
62.614984,0.019163
62.693679,0.008739
62.83603,0.022419
62.950019,0.02645
63.137825,0.007992
63.283276,0.021844
63.395189,0.02046
63.43627,0.007219
63.499172,0.008387
63.584107,0.020174
63.730327,0.007386
63.822695,0.032034
64.175493,0.016132
64.287336,0.021758
64.384965,0.013478
64.468312,0.008073
