1,mix
2,mix
3,mix
4,mix
5,repique
6,repique
7,repique
8,repique
9,repique
10,repique
11,repique
12,repique
13,repique
14,repique
15,repique
16,mix
17,madera
18,madera
19,madera
20,madera
21,madera
22,madera
23,madera
24,madera
25,repique
26,repique
27,repique
28,repique
29,repique
30,repique
31,repique
32,repique
33,repique
34,repique
35,repique
36,repique
37,repique
38,repique
39,repique
40,mix
41,mix
42,repique
43,repique
44,repique
45,repique
46,repique
47,repique
48,repique
49,repique
50,repique
51,repique
52,repique
53,repique
54,repique
55,repique
56,repique
57,repique
58,repique
59,repique
60,repique
61,mix
62,madera
63,madera
64,madera
65,madera
66,repique
67,repique
68,repique
69,repique
70,repique
71,repique
72,repique
73,repique
74,repique
75,repique
76,repique
77,repique
78,repique
79,repique
80,repique
81,repique
82,repique
83,repique
84,repique
85,repique
86,repique
87,repique
88,repique
89,repique
90,repique
91,mix
92,madera
93,madera
94,madera
95,madera
96,repique
97,repique
98,repique
99,repique
100,repique
101,repique
102,repique
103,repique
104,repique
105,repique
106,repique
107,repique
108,repique
109,repique
110,repique
111,repique
112,repique
113,repique
114,repique
115,repique
116,mix
117,madera
118,madera
119,repique
