1,mix
2,mix
3,repique
4,mix
5,madera
6,repique
7,repique
8,repique
9,repique
10,repique
11,repique
12,repique
13,repique
14,repique
15,repique
16,mix
17,madera
18,madera
19,repique
20,repique
21,repique
22,repique
23,repique
24,repique
25,repique
26,repique
27,repique
28,mix
29,madera
30,repique
31,repique
32,mix
33,mix
34,mix
35,repique
36,repique
37,repique
38,repique
39,mix
40,repique
41,repique
42,repique
43,repique
44,repique
45,repique
46,repique
47,repique
48,mix
49,madera
50,madera
51,repique
52,repique
53,repique
54,repique
55,repique
56,repique
57,repique
58,repique
59,repique
60,mix
61,madera
62,repique
63,repique
64,repique
65,repique
66,repique
67,repique
68,repique
69,repique
70,repique
71,repique
72,repique
73,repique
74,mix
75,mix
76,madera
77,repique
78,repique
79,repique
