Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
241,3,01:01,1,,0.469643,,,,,,,,,,0.084499,,
241,3,01:02,2,,,,,,,,,,,,,,
241,3,01:03,3,,,,,,,,,,,,,,
241,3,01:04,4,,,,,,,,,,,,,,
241,3,01:05,5,,,,,,,,,,,,,,
241,3,01:06,6,,,,,,,,,,,,,,
241,3,01:07,7,,,1.153495,,,,,,,,,,0.007043,
241,3,01:08,8,,,,,,,,,,,,,,
241,3,01:09,9,,,,,,,,,,,,,,
241,3,01:10,10,,,,,,,,,,,,,,
241,3,01:11,11,,,1.594689,,,,,,,,,,0.041703,
241,3,01:12,12,,,,,,,,,,,,,,
241,3,01:13,13,,,1.842741,,,,,,,,,,0.012565,
241,3,01:14,14,,1.935454,,,,,,,,,,0.481338,,
241,3,01:15,15,,,,,,,,,,,,,,
241,3,01:16,16,,,,,,,,,,,,,,
241,3,02:01,1,,2.257218,,,,,,2.5,,,,0.12742,,
241,3,02:02,2,,,2.336621,,,,,,4.5,,,,0.012325,
241,3,02:03,3,2.500304,,,,,,3.5,,,,0.093633,,,
241,3,02:04,4,2.619734,,2.596249,,,,4,,5.5,,0.020633,,0.037463,
241,3,02:05,5,,,,,,,,,,,,,,
241,3,02:06,6,,,2.843805,,,,,,5.5,,,,0.007866,
241,3,02:07,7,,,,,,,,,,,,,,
241,3,02:08,8,,,,,,,,,,,,,,
241,3,02:09,9,,,3.195325,,,,,,5.5,,,,0.014696,
241,3,02:10,10,,,,,,,,,,,,,,
241,3,02:11,11,,,3.415521,,,,,,5.5,,,,0.030229,
241,3,02:12,12,,,,,,,,,,,,,,
241,3,02:13,13,,,3.645127,,,,,,5,,,,0.008087,
241,3,02:14,14,,3.71224,,,,,,2,,,,0.413077,,
241,3,02:15,15,,3.831916,,,,,,2.5,,,,0.500272,,
241,3,02:16,16,,,,,,,,,,,,,,
241,3,03:01,1,,4.05853,,,,,,2.5,,,,0.070931,,
241,3,03:02,2,4.185584,,,,,,6,,,,0.168969,,,
241,3,03:03,3,4.281826,4.278732,4.287177,,,,6,2.5,5.5,,0.171733,0.712382,0.045453,
241,3,03:04,4,4.388292,4.370464,,,,,6.5,3,,,0.03325,0.231316,,
