Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
231,3,01:01,1,,,,,,,,,,,,,,
231,3,01:02,2,,,,,,,,,,,,,,
231,3,01:03,3,,,,,,,,,,,,,,
231,3,01:04,4,,,,,,,,,,,,,,
231,3,01:05,5,,,,,,,,,,,,,,
231,3,01:06,6,,,,,,,,,,,,,,
231,3,01:07,7,,,,,,,,,,,,,,
231,3,01:08,8,,,,,,,,,,,,,,
231,3,01:09,9,,,,,,,,,,,,,,
231,3,01:10,10,,,,,,,,,,,,,,
231,3,01:11,11,,,,,,,,,,,,,,
231,3,01:12,12,,,,,,,,,,,,,,
231,3,01:13,13,,,,,,,,,,,,,,
231,3,01:14,14,,,,,,,,,,,,,,
231,3,01:15,15,,,,,,,,,,,,,,
231,3,01:16,16,,,,,,,,,,,,,,
231,3,02:01,1,,,,,,,,,,,,,,
231,3,02:02,2,,,,,,,,,,,,,,
231,3,02:03,3,,,,,,,,,,,,,,
231,3,02:04,4,,,3.51484,,,,,,0.5,,,,0.027463,
231,3,02:05,5,,,,,,,,,,,,,,
231,3,02:06,6,,,,,,,,,,,,,,
231,3,02:07,7,,,3.962956,,,,,,1,,,,0.022794,
231,3,02:08,8,,,,,,,,,,,,,,
231,3,02:09,9,,,,,,,,,,,,,,
231,3,02:10,10,,,,,,,,,,,,,,
231,3,02:11,11,,,4.574377,,,,,,1.5,,,,0.023384,
231,3,02:12,12,,,,,,,,,,,,,,
231,3,02:13,13,,,4.917314,,,,,,2,,,,0.02761,
231,3,02:14,14,,,,,,,,,,,,,,
231,3,02:15,15,,,,,,,,,,,,,,
231,3,02:16,16,,,,,,,,,,,,,,
231,3,03:01,1,,,5.511256,,,,,,2.5,,,,0.023329,
231,3,03:02,2,,,,,,,,,,,,,,
231,3,03:03,3,,5.74348,,,,,,1.5,,,,0.042842,,
231,3,03:04,4,,,5.927017,,,,,,2.5,,,,0.006668,
231,3,03:05,5,,,,,,,,,,,,,,
231,3,03:06,6,,6.201612,,,,,,3.5,,,,0.024289,,
231,3,03:07,7,,,6.358724,,,,,,3,,,,0.006381,
231,3,03:08,8,,6.468242,,,,,,5,,,,0.081976,,
231,3,03:09,9,,6.659441,,,,,,5.5,,,,0.418096,,
231,3,03:10,10,,6.773909,,,,,,6,,,,0.020637,,
231,3,03:11,11,,6.935176,6.921007,,,,,6.5,3,,,0.02606,0.030117,
231,3,03:12,12,,,,,,,,,,,,,,
231,3,03:13,13,,7.235111,7.245826,,,,,7.5,3.5,,,0.301309,0.014716,
231,3,03:14,14,,,,,,,,,,,,,,
231,3,03:15,15,,7.518554,,,,,,7.5,,,,0.039553,,
231,3,03:16,16,,7.655411,,,,,,8,,,,0.107854,,
231,3,04:01,1,,7.819467,,,,,,7.5,,,,0.03261,,
231,3,04:02,2,,,,,,,,,,,,,,
231,3,04:03,3,8.132908,8.126997,,,,,3.5,7.5,,,0.11108,0.114314,,
231,3,04:04,4,8.289897,8.26406,8.270742,,,,3.5,7.5,3,,0.049099,0.089062,0.033503,
231,3,04:05,5,8.458056,8.431894,,,,,4,7,,,0.080225,0.036244,,
231,3,04:06,6,8.604677,,,,,,4.5,,,,0.095706,,,
231,3,04:07,7,8.744278,8.717228,8.713954,,,,5,6.5,3,,0.135481,0.033272,0.006554,
231,3,04:08,8,8.871739,8.854484,,,,,5,6.5,,,0.146433,0.149565,,
231,3,04:09,9,9.03353,9.034636,,,,,5.5,6,,,0.152012,0.032784,,
231,3,04:10,10,9.173353,9.172834,,,,,6,6,,,0.087408,0.119224,,
231,3,04:11,11,9.311469,9.328601,9.332125,,,,6,6,3,,0.102065,0.081298,0.031113,
231,3,04:12,12,9.443106,9.450817,,,,,6.5,6.5,,,0.250037,0.160786,,
231,3,04:13,13,9.632801,9.629075,9.637121,,,,6.5,6.5,3.5,,0.193755,0.037219,0.009875,
231,3,04:14,14,9.784884,9.756167,,,,,7,6.5,,,0.047221,0.055632,,
231,3,04:15,15,9.935966,9.902319,,,,,7,6.5,,,0.119985,0.043023,,
231,3,04:16,16,10.055656,10.051063,10.055803,,,,7,6.5,4,,0.190187,0.189745,0.291383,
231,3,05:01,1,10.230551,10.21503,10.241995,,,,7,6.5,4.5,,0.219504,0.048187,0.353831,
231,3,05:02,2,10.385659,10.36653,10.424215,,,,7,6.5,4.5,,0.06852,0.111946,0.287586,
231,3,05:03,3,10.514828,10.512796,,,,,7,6.5,,,0.144223,0.177874,,
231,3,05:04,4,10.664441,10.653158,,,,,7,7,,,0.11018,0.095504,,
231,3,05:05,5,10.817188,10.828562,10.830259,,,,7,7,5,,0.218028,0.075014,0.112219,
231,3,05:06,6,10.959026,10.964371,,,,,7,7,,,0.126903,0.109108,,
231,3,05:07,7,11.116017,11.115416,,,,,7,7,,,0.142651,0.057123,,
231,3,05:08,8,11.257057,11.240091,11.304385,,,,7,7,5,,0.1396,0.176428,0.341752,
231,3,05:09,9,11.414144,11.411182,11.42389,,,,7,7,5,,0.239802,0.064071,0.354872,
231,3,05:10,10,11.57385,11.536116,11.615111,,,,7,7,5.5,,0.114825,0.176878,0.100193,
231,3,05:11,11,11.711487,11.696851,,,,,7,7,,,0.139418,0.085614,,
231,3,05:12,12,11.846556,11.833028,11.83058,,,,7,7,5,,0.238284,0.159043,0.139659,
