Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
212,3,01:01,1,,,,,,,,,,,,,,
212,3,01:02,2,,,,,,,,,,,,,,
212,3,01:03,3,,,,,,,,,,,,,,
212,3,01:04,4,,,,,,,,,,,,,,
212,3,01:05,5,,,,,,,,,,,,,,
212,3,01:06,6,,,,,,,,,,,,,,
212,3,01:07,7,,,,,,,,,,,,,,
212,3,01:08,8,,,,,,,,,,,,,,
212,3,01:09,9,,,,,,,,,,,,,,
212,3,01:10,10,,,,,,,,,,,,,,
212,3,01:11,11,,,,,,,,,,,,,,
212,3,01:12,12,,,,,,,,,,,,,,
212,3,01:13,13,,,,,,,,,,,,,,
212,3,01:14,14,,,,,,,,,,,,,,
212,3,01:15,15,,,,,,,,,,,,,,
212,3,01:16,16,,,,,,,,,,,,,,
212,3,02:01,1,,,,,,,,,,,,,,
212,3,02:02,2,,,,,,,,,,,,,,
212,3,02:03,3,,,,,,,,,,,,,,
212,3,02:04,4,,,3.174699,,,,,,0.5,,,,0.038977,
212,3,02:05,5,,,,,,,,,,,,,,
212,3,02:06,6,,,,,,,,,,,,,,
212,3,02:07,7,,,3.615181,,,,,,1,,,,0.029841,
212,3,02:08,8,,,,,,,,,,,,,,
212,3,02:09,9,,,,,,,,,,,,,,
212,3,02:10,10,,,,,,,,,,,,,,
212,3,02:11,11,,,4.226243,,,,,,1.5,,,,0.048741,
212,3,02:12,12,,,,,,,,,,,,,,
212,3,02:13,13,,,4.573229,,,,,,2,,,,0.035093,
212,3,02:14,14,,,,,,,,,,,,,,
212,3,02:15,15,,,,,,,,,,,,,,
212,3,02:16,16,,,,,,,,,,,,,,
212,3,03:01,1,,,5.18684,,,,,,2,,,,0.040292,
212,3,03:02,2,,,,,,,,,,,,,,
212,3,03:03,3,,,,,,,,,,,,,,
212,3,03:04,4,,,5.602153,,,,,,2.5,,,,0.044614,
212,3,03:05,5,,,,,,,,,,,,,,
212,3,03:06,6,,,,,,,,,,,,,,
212,3,03:07,7,,,6.036283,,,,,,2.5,,,,0.039472,
212,3,03:08,8,,,,,,,,,,,,,,
212,3,03:09,9,,,,,,,,,,,,,,
212,3,03:10,10,,,,,,,,,,,,,,
212,3,03:11,11,,,6.633441,,,,,,2,,,,0.064954,
212,3,03:12,12,,,,,,,,,,,,,,
212,3,03:13,13,,,6.949292,,,,,,2.5,,,,0.015069,
212,3,03:14,14,,,,,,,,,,,,,,
212,3,03:15,15,,,,,,,,,,,,,,
212,3,03:16,16,,,,,,,,,,,,,,
212,3,04:01,1,,,7.550062,,,,,,3,,,,0.064349,
212,3,04:02,2,,,,,,,,,,,,,,
212,3,04:03,3,,,,,,,,,,,,,,
212,3,04:04,4,,,7.971419,,,,,,3,,,,0.061535,
212,3,04:05,5,,,,,,,,,,,,,,
212,3,04:06,6,,,,,,,,,,,,,,
212,3,04:07,7,,,8.401813,,,,,,3,,,,0.048009,
212,3,04:08,8,,,,,,,,,,,,,,
212,3,04:09,9,,,,,,,,,,,,,,
212,3,04:10,10,,,,,,,,,,,,,,
212,3,04:11,11,,,8.947628,,,,,,3,,,,0.067377,
212,3,04:12,12,,,,,,,,,,,,,,
212,3,04:13,13,,,9.274682,,,,,,3,,,,0.011144,
212,3,04:14,14,,,,,,,,,,,,,,
212,3,04:15,15,,,,,,,,,,,,,,
212,3,04:16,16,,,,,,,,,,,,,,
212,3,05:01,1,,,9.851914,,,,,,3,,,,0.051462,
212,3,05:02,2,,,,,,,,,,,,,,
212,3,05:03,3,,,,,,,,,,,,,,
212,3,05:04,4,,,10.265283,,,,,,3,,,,0.059699,
212,3,05:05,5,,,,,,,,,,,,,,
212,3,05:06,6,,,,,,,,,,,,,,
212,3,05:07,7,,,10.671947,,,,,,3,,,,0.04783,
212,3,05:08,8,,,,,,,,,,,,,,
212,3,05:09,9,,,,,,,,,,,,,,
212,3,05:10,10,,,,,,,,,,,,,,
212,3,05:11,11,,,11.264412,,,,,,3,,,,0.062729,
212,3,05:12,12,,,,,,,,,,,,,,
212,3,05:13,13,,,11.557279,,,,,,3,,,,0.020453,
212,3,05:14,14,,,,,,,,,,,,,,
212,3,05:15,15,,,,,,,,,,,,,,
212,3,05:16,16,,,11.958944,,,,,,2.5,,,,0.046504,
212,3,06:01,1,,,12.123332,,,,,,3,,,,0.02555,
212,3,06:02,2,,,,,,,,,,,,,,
212,3,06:03,3,12.394174,,,,,,1.5,,,,0.122925,,,
212,3,06:04,4,12.518461,,12.504336,,,,2,,3.5,,0.104493,,0.007877,
212,3,06:05,5,12.668244,,,,,,2.5,,,,0.245438,,,
212,3,06:06,6,12.790806,,,,,,3,,,,0.101965,,,
212,3,06:07,7,12.937494,,12.928421,,,,3.5,,4.5,,0.150192,,0.010464,
212,3,06:08,8,13.061363,,,,,,4,,,,0.208274,,,
212,3,06:09,9,13.216574,,,,,,4.5,,,,0.269772,,,
212,3,06:10,10,13.353157,,,,,,5,,,,0.134867,,,
212,3,06:11,11,13.476103,,13.47465,,,,5.5,,6,,0.231155,,0.016101,
212,3,06:12,12,13.605315,,,,,,5.5,,,,0.279145,,,
212,3,06:13,13,13.77249,,13.770713,,,,6,,6.5,,0.220897,,0.020514,
212,3,06:14,14,13.910547,,,,,,6.5,,,,0.075839,,,
212,3,06:15,15,14.048716,14.047103,,,,,7,0.5,,,0.157745,0.198102,,
212,3,06:16,16,14.165096,,14.158942,,,,7.5,,6.5,,0.272022,,0.06386,
212,3,07:01,1,14.34553,14.359345,14.338815,,,,7.5,1,6.5,,0.191224,0.411817,0.017525,
