Time,Peak
0.590735,0.010599
1.016224,0.01242
1.524323,0.009278
1.818686,0.012318
2.38037,0.009959
2.761527,0.011844
3.155197,0.012368
3.667987,0.008701
3.955004,0.011214
4.476719,0.00799
4.853694,0.011055
5.242892,0.013749
5.755537,0.009453
6.039941,0.009366
6.554735,0.010298
6.937566,0.011104
7.328527,0.016104
7.874735,0.009116
8.149259,0.007977
8.627315,0.009748
8.780242,0.004559
8.890054,0.306257
8.931603,0.208603
9.052872,0.009951
9.137658,0.002204
9.176865,0.006361
9.221518,0.005604
9.276589,0.011042
9.36729,0.005196
9.64851,0.00307
9.775579,0.004438
9.898818,0.005728
9.999519,0.005136
10.156856,0.006293
10.273876,0.003704
10.387266,0.024741
10.516854,0.002251
10.672553,0.013591
10.823618,0.00874
10.906404,0.357616
10.944063,0.218594
11.028069,0.0616
11.094615,0.014309
11.203544,0.007629
11.241507,0.002307
11.300889,0.012063
11.440199,0.003577
11.554366,0.003454
11.697455,0.005902
11.825324,0.00438
11.934453,0.008623
12.226102,0.010933
12.344435,0.007288
12.572409,0.003862
12.742928,0.009966
12.774158,0.002252
12.851119,0.010826
12.955663,0.337816
12.997256,0.265648
13.114267,0.01571
13.165918,0.009451
13.242215,0.00736
13.272303,0.010302
13.349791,0.013122
13.478621,0.002792
13.598677,0.002288
13.737068,0.009011
13.876771,0.006652
13.97856,0.375191
14.019393,0.147196
14.136908,0.003052
14.185669,0.025446
14.232324,0.005039
14.264952,0.009196
14.35734,0.005565
14.394965,0.004538
14.520711,0.002654
14.622308,0.004223
14.777825,0.338769
14.815117,0.158435
14.87756,0.052846
14.99485,0.013028
15.140014,0.019473
15.282929,0.002255
15.390948,0.020309
15.52436,0.386416
15.587448,0.093695
15.634271,0.07674
15.731968,0.021938
15.791688,0.005251
15.883837,0.014246
15.919162,0.003732
15.987894,0.002626
16.049456,0.009446
16.300695,0.346078
16.36086,0.109574
16.538272,0.004101
16.676439,0.065426
16.774147,0.002892
16.835374,0.380092
16.9537,0.010911
16.997147,0.008631
17.083967,0.234119
17.211569,0.002347
17.250749,0.004048
17.294112,0.003352
17.341974,0.002742
17.462912,0.01817
17.704277,0.002925
17.875387,0.006697
17.965189,0.149503
18.105652,0.390183
18.223571,0.006701
18.26415,0.007628
18.310881,0.00856
18.366893,0.117533
18.421353,0.003361
18.500261,0.28789
18.575818,0.004498
18.615168,0.010929
18.657672,0.009036
18.735503,0.104578
18.842593,0.005682
18.896838,0.331044
19.062906,0.00277
19.102787,0.003021
19.154117,0.002536
19.234779,0.002503
19.277844,0.015013
19.420428,0.002768
19.535792,0.018235
19.659205,0.004502
19.783057,0.003341
19.921523,0.007713
19.954094,0.003956
20.070341,0.201026
20.180606,0.030586
20.210693,0.463628
20.328748,0.00809
20.369229,0.011345
20.449564,0.391924
20.555441,0.0039
20.588219,0.390663
20.710326,0.003296
20.754368,0.009086
20.824155,0.161297
20.926548,0.017691
20.97688,0.419337
21.09379,0.014874
21.141799,0.01676
21.182047,0.01086
21.231805,0.002576
21.319908,0.002152
21.351891,0.01229
21.495961,0.003415
21.618997,0.019118
21.723316,0.002122
21.843726,0.003439
22.025079,0.00758
22.130073,0.308991
22.230575,0.021798
22.263972,0.43007
22.429861,0.010805
22.475381,0.009572
22.526637,0.298328
22.624908,0.003428
22.660696,0.376287
22.777409,0.012588
22.827406,0.006672
22.871335,0.007828
22.914281,0.003653
23.066255,0.009964
23.190427,0.488281
23.264324,0.002508
23.308172,0.187679
23.417244,0.21582
23.57318,0.342533
23.71,0.004047
23.77836,0.00495
23.830704,0.006172
23.880237,0.002468
24.103669,0.008774
24.226241,0.487578
24.348879,0.253745
24.459246,0.278124
24.590788,0.003037
24.623524,0.281715
25.166412,0.014177
25.228157,0.006983
25.271727,0.490252
25.389343,0.187084
25.50716,0.248832
25.628934,0.004126
25.662423,0.354939
25.869981,0.002512
26.210204,0.007355
26.319846,0.462568
26.43734,0.237712
26.551198,0.216713
26.721482,0.313809
27.269226,0.010823
27.361097,0.475795
27.484732,0.144169
27.600333,0.104725
27.719552,0.003399
27.759284,0.32096
27.897404,0.104585
28.119878,0.358257
28.236075,0.006909
28.303399,0.040332
28.427251,0.197016
28.647776,0.052704
28.811592,0.260096
29.056046,0.006863
29.320459,0.002816
29.353279,0.007859
29.458113,0.473061
29.494408,0.138193
29.608324,0.086185
29.658688,0.038947
29.734789,0.007507
29.841951,0.25911
29.972424,0.27023
30.14357,0.00395
30.189862,0.35161
30.369574,0.121383
30.498781,0.192247
30.659331,0.005349
30.718506,0.144672
30.87965,0.232172
30.99576,0.007763
31.04577,0.006773
31.08484,0.007839
31.123748,0.01088
31.181027,0.004674
31.230385,0.264963
31.403204,0.341542
31.561789,0.009886
31.622738,0.002155
31.66229,0.002441
31.7728,0.02199
31.85392,0.002529
32.046425,0.024306
32.174087,0.025377
32.459056,0.012394
32.562216,0.01363
32.672644,0.026868
32.795671,0.002551
32.956947,0.03767
33.080463,0.013129
33.188409,0.002811
33.314994,0.008508
33.481276,0.020851
33.591205,0.017535
33.651418,0.006008
33.717206,0.003431
33.829854,0.015589
33.860682,0.007233
34.008604,0.006853
34.107184,0.015228
34.229758,0.010262
34.353355,0.008567
34.522782,0.010465
34.593689,0.007984
34.639318,0.003783
34.748344,0.016227
34.871222,0.002102
35.021303,0.022445
35.1292,0.013491
35.19117,0.002664
35.36007,0.009468
35.525405,0.025443
35.653408,0.01409
35.727939,0.002398
35.874782,0.022867
36.030678,0.006017
36.149358,0.021276
36.266668,0.01112
36.381264,0.007869
36.533174,0.013492
36.641135,0.014666
36.760525,0.019843
36.884084,0.006529
37.039828,0.025443
37.154184,0.009784
37.391998,0.010861
37.549652,0.014882
37.672189,0.01097
37.751546,0.00296
37.791363,0.002223
37.916804,0.02611
38.032448,0.002205
38.063449,0.004481
38.182549,0.031328
38.318209,0.010432
38.413309,0.008526
38.576944,0.013362
38.690999,0.015093
38.808747,0.016606
38.933371,0.005831
39.073218,0.0165
39.107537,0.009246
39.215299,0.009064
39.314133,0.007411
39.442921,0.008273
39.528328,0.002443
39.593504,0.012673
39.732968,0.047603
39.788908,0.011889
39.966508,0.014312
40.084535,0.015344
40.117573,0.00432
40.231393,0.041588
40.288169,0.00484
40.360206,0.010517
40.448641,0.012591
40.559636,0.002114
40.612351,0.026298
40.742917,0.029439
40.854447,0.009297
40.968626,0.007383
41.121579,0.015716
41.154467,0.002571
41.227578,0.003265
41.260651,0.014318
41.349621,0.029546
41.490712,0.010731
41.632071,0.023611
41.790419,0.015532
41.862958,0.002248
41.894098,0.00902
41.990646,0.021718
42.117118,0.002424
42.163725,0.008622
42.230105,0.002678
42.268154,0.027995
42.324523,0.003379
42.387921,0.017229
42.503645,0.009692
42.679251,0.010819
42.764535,0.01672
42.897285,0.012645
42.932961,0.003736
43.006892,0.009096
43.172844,0.027149
43.286204,0.018881
43.39359,0.004656
43.527007,0.012362
43.681912,0.020094
43.788044,0.014691
43.890885,0.004825
43.965914,0.002493
44.029036,0.025774
44.182366,0.010713
44.255612,0.002221
44.290725,0.024789
44.350604,0.003391
44.415871,0.019175
44.543071,0.009375
44.680573,0.011171
44.80315,0.011588
44.836208,0.007069
44.907314,0.019531
44.938688,0.002352
45.03855,0.00262
45.192726,0.039724
45.279143,0.002478
45.318711,0.009141
45.421199,0.002808
45.530127,0.013074
45.620894,0.002249
45.694945,0.020921
45.815024,0.014666
45.855506,0.003183
45.909817,0.002454
46.052016,0.02609
46.082589,0.002632
46.225079,0.00856
46.322639,0.019941
46.405268,0.003565
46.441648,0.019467
46.563496,0.011398
46.683413,0.002306
46.723729,0.012368
46.819887,0.018077
46.860118,0.005561
46.914616,0.004276
46.955821,0.02249
47.229767,0.026893
47.335973,0.015413
47.430596,0.002883
47.568537,0.013795
47.636182,0.002005
47.715703,0.022276
47.750442,0.00655
47.840427,0.014374
47.948494,0.00468
48.072406,0.020818
48.237856,0.002997
48.308464,0.029135
48.458978,0.014068
48.543197,0.005866
48.604988,0.002308
48.726049,0.007808
48.833555,0.033735
48.945778,0.00722
49.023802,0.002274
49.232236,0.033978
49.347263,0.012207
49.441624,0.003615
49.571765,0.007201
49.724741,0.015891
49.766467,0.00233
49.847244,0.016804
49.955613,0.296198
50.073763,0.00435
50.15357,0.003734
50.199952,0.144813
50.331512,0.015029
50.404954,0.00336
50.452067,0.00512
50.518219,0.171796
50.688704,0.217682
50.805183,0.01125
50.839133,0.223419
50.952238,0.004366
51.015294,0.164601
51.128231,0.002798
51.190774,0.164772
51.320228,0.003419
51.430827,0.003654
51.534018,0.003889
51.700552,0.016762
51.749416,0.004943
51.788489,0.215954
51.901596,0.250248
52.01506,0.213654
52.133118,0.010437
52.163385,0.266062
52.276164,0.011999
52.309147,0.239315
52.420123,0.005182
52.479813,0.333368
52.592958,0.005725
52.642383,0.2168
52.750053,0.005987
52.784995,0.271451
52.927631,0.008918
52.961375,0.385957
53.07454,0.010356
53.121144,0.378623
53.269067,0.010631
53.347034,0.012751
53.472527,0.00836
53.622195,0.015047
53.679344,0.004898
53.721435,0.314456
53.831963,0.383381
53.942823,0.319691
54.08369,0.175255
54.183741,0.005631
54.22434,0.269268
54.39933,0.283211
54.528594,0.007855
54.560397,0.26673
54.671144,0.018955
54.705176,0.326527
54.877138,0.316522
54.995402,0.013804
55.033501,0.279141
55.146685,0.012936
55.182693,0.204922
55.284589,0.002369
55.352766,0.208688
55.475768,0.024411
55.51008,0.752797
55.575011,0.055227
55.61938,0.045573
55.681686,0.003603
55.826085,0.286947
55.940016,0.011871
55.971644,0.284171
56.089208,0.028777
56.13038,0.003466
56.193725,0.818365
56.263174,0.202262
56.448662,0.002431
56.563381,0.425708
56.698259,0.261863
56.764099,0.068423
56.924768,0.669131
56.969891,0.089894
57.041954,0.021685
57.150918,0.012049
57.202633,0.014178
57.247543,0.512754
57.362805,0.012071
57.403207,0.011383
57.454711,0.011601
57.511437,0.354182
57.627729,0.0058
57.674236,0.008861
57.718642,0.017683
57.803163,0.002635
57.860853,0.634014
57.983832,0.24538
58.133021,0.006647
58.173022,0.661912
58.282071,0.003005
58.316975,0.082261
58.406507,0.00467
58.444375,0.389485
58.561302,0.002668
58.622085,0.186647
58.735016,0.004711
58.775091,0.447318
58.886814,0.31763
58.991971,0.003112
59.051589,0.012337
59.090481,0.427135
59.20655,0.015512
59.242705,0.365345
59.363247,0.356387
59.47813,0.005976
59.554999,0.474918
59.668016,0.003668
59.699456,0.425905
59.811697,0.491008
60.004245,0.43669
60.167038,0.233593
60.285928,0.27863
60.446412,0.006426
60.492157,0.263812
60.605116,0.008042
60.637467,0.322123
60.717743,0.002267
60.747812,0.343417
