Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
222,3,01:01,1,,,1.629118,,,,,,,,,,0.258711,
222,3,01:02,2,,,,,,,,,,,,,,
222,3,01:03,3,,,1.845654,,,,,,,,,,0.338492,
222,3,01:04,4,,,,,,,,,,,,,,
222,3,01:05,5,,,,,,,,,,,,,,
222,3,01:06,6,,,,,,,,,,,,,,
222,3,01:07,7,,,2.333168,,,,,,1.5,,,,0.026258,
222,3,01:08,8,,,,,,,,,,,,,,
222,3,01:09,9,,,,,,,,,,,,,,
222,3,01:10,10,,,2.690987,,,,,,3,,,,0.009832,
222,3,01:11,11,,,,,,,,,,,,,,
222,3,01:12,12,,,,,,,,,,,,,,
222,3,01:13,13,,,3.062036,,,,,,4,,,,0.073014,
222,3,01:14,14,,,,,,,,,,,,,,
222,3,01:15,15,,,,,,,,,,,,,,
222,3,01:16,16,,,3.388682,,,,,,5.5,,,,0.299051,
222,3,02:01,1,,,3.534586,,,,,,6,,,,0.007427,
222,3,02:02,2,,,,,,,,,,,,,,
222,3,02:03,3,3.758696,,,,,,4,,,,0.27875,,,
222,3,02:04,4,3.863128,,,,,,4,,,,0.725217,,,
222,3,02:05,5,,,,,,,,,,,,,,
222,3,02:06,6,4.086009,,,,,,4.5,,,,0.239522,,,
222,3,02:07,7,4.208439,,4.229011,,,,5,,7,,0.335645,,0.032924,
222,3,02:08,8,4.321757,,,,,,5,,,,0.685034,,,
222,3,02:09,9,,,,,,,,,,,,,,
222,3,02:10,10,4.550488,,4.565194,,,,5.5,,6.5,,0.242757,,0.035626,
222,3,02:11,11,4.666089,,4.692946,,,,6,,6.5,,0.346048,,0.011195,
222,3,02:12,12,4.776905,,,,,,6,,,,0.762801,,,
222,3,02:13,13,,,4.937017,,,,,,7,,,,0.022014,
222,3,02:14,14,5.015005,,,,,,6.5,,,,0.281919,,,
222,3,02:15,15,5.131279,,,,,,6.5,,,,0.332506,,,
222,3,02:16,16,5.24742,,5.257745,,,,7,,6.5,,0.019901,,0.411077,
222,3,03:01,1,,,5.391582,,,,,,6.5,,,,0.010553,
222,3,03:02,2,5.485697,,,,,,7.5,,,,0.244313,,,
