Time,Peak
0.427036,0.01689
1.146426,0.015069
1.850891,0.018697
2.306976,0.021414
2.696697,0.020522
3.055764,0.016545
3.39508,0.019188
3.54039,0.023608
3.643941,0.638585
3.758696,0.131573
3.863128,0.27875
4.086009,0.725217
4.208439,0.239522
4.321757,0.335645
4.550488,0.685034
4.666089,0.242757
4.776905,0.346048
5.015005,0.762801
5.131279,0.281919
5.24742,0.332506
5.397674,0.019901
5.485697,0.994817
5.602842,0.244313
5.715535,0.295966
5.857663,0.019135
5.948614,0.904893
6.071481,0.276347
6.181439,0.362168
6.411645,0.860169
6.529525,0.317387
6.638132,0.317468
6.765751,0.020258
6.875518,0.998118
6.995078,0.243053
7.102904,0.33658
7.238042,0.024431
7.333454,1.000368
7.445548,0.32438
7.555243,0.288638
7.778775,0.664788
7.892593,0.325672
8.006808,0.347354
8.23821,0.750714
8.352184,0.308952
8.460777,0.281907
8.607706,0.049386
8.691872,0.684155
8.806069,0.26791
8.922624,0.261942
9.055755,0.024459
9.143123,0.702609
9.257598,0.28905
9.365661,0.31003
9.584923,0.737524
9.705976,0.270116
9.817561,0.254849
10.043735,0.679741
10.162468,0.306072
10.272591,0.293539
10.422751,0.047619
10.498508,0.656863
10.619184,0.245311
10.734714,0.314136
10.876305,0.029078
10.954829,0.57484
11.074094,0.235672
11.185464,0.305226
11.402984,0.714005
11.519547,0.23954
11.635908,0.287902
11.756925,0.015355
11.866846,0.540066
11.979788,0.29371
12.094456,0.29784
12.227611,0.035889
12.329216,0.641743
12.443138,0.199831
12.553662,0.321699
12.667792,0.028576
12.781357,0.782182
12.896862,0.272866
13.009459,0.323733
13.145637,0.015603
13.225509,0.622563
13.343977,0.320603
13.455986,0.275677
13.588689,0.016801
13.678938,0.664569
13.797243,0.336199
13.907506,0.323015
14.04688,0.016981
14.14515,0.892604
14.258093,0.347229
14.377921,0.328643
14.508423,0.019627
14.599514,0.579784
14.713904,0.329499
14.824517,0.336847
14.945147,0.01659
15.035551,0.665228
15.155106,0.308101
15.264434,0.308884
15.481405,0.779376
15.597819,0.285287
15.706431,0.346979
15.850033,0.027798
15.936007,0.580644
16.046616,0.291858
16.162869,0.359309
16.308271,0.02471
16.390213,0.681046
16.509163,0.349075
16.618343,0.355061
16.841547,0.530027
16.960891,0.318475
17.07465,0.312655
17.289796,0.734965
17.407929,0.316046
17.522428,0.306834
17.674859,0.027711
17.75759,0.656691
17.871342,0.274766
17.986054,0.260179
18.208625,0.744982
18.325547,0.2588
18.437299,0.212497
18.660844,0.581452
18.775345,0.240208
18.882756,0.18157
19.021197,0.02646
19.108108,0.668838
19.233661,0.200728
19.340889,0.204661
19.481871,0.0289
19.571031,0.458048
19.699307,0.192491
19.803812,0.185791
20.02689,0.487608
20.139662,0.230806
20.245132,0.241945
20.401999,0.015733
20.478553,0.45936
20.590071,0.192063
20.702089,0.237733
20.856788,0.018023
20.934794,0.553457
21.051275,0.224501
21.160732,0.196812
21.322523,0.021692
21.398129,0.452991
21.51463,0.190354
21.621771,0.205408
21.766036,0.029642
21.850829,0.448374
21.969994,0.184634
22.077346,0.200245
22.302095,0.50751
22.424927,0.210486
22.530625,0.203713
22.763366,0.616333
22.881179,0.178414
22.98903,0.204805
23.129827,0.036688
23.218016,0.652717
23.335459,0.190658
23.440822,0.22058
23.5814,0.025373
23.665433,0.693336
23.782745,0.181152
23.891867,0.213936
24.124686,0.485419
24.243944,0.112632
24.361229,0.115837
24.497097,0.015312
24.58286,0.353158
24.703782,0.124627
24.806906,0.144339
24.955833,0.045178
25.038742,0.369329
25.160239,0.122439
25.264036,0.127936
25.49831,0.462023
25.614558,0.145244
25.721961,0.163252
25.969316,0.394073
26.085296,0.126844
26.195476,0.134676
26.421925,0.474656
26.538903,0.16821
26.649652,0.22378
26.879593,0.757221
26.997468,0.2016
27.10509,0.204245
27.251068,0.016721
27.333119,0.573668
27.451738,0.200595
27.560638,0.22071
27.796386,0.608274
27.912907,0.173031
28.020174,0.198971
28.251603,0.592082
28.363102,0.237191
28.476693,0.244509
28.628111,0.018876
28.709132,0.733288
28.826008,0.16811
28.930384,0.196112
29.08332,0.03597
29.166538,0.82257
29.285125,0.190437
29.392992,0.233139
29.617002,0.711387
29.736495,0.179988
29.845289,0.184403
30.070164,0.656948
30.186257,0.176906
30.301578,0.223116
30.526378,0.74973
30.644538,0.179718
30.75721,0.214613
30.981172,0.810486
31.098384,0.208904
31.210888,0.287729
31.436628,0.82052
31.554111,0.226707
31.66649,0.229809
31.880931,0.621088
32.008553,0.241903
32.122672,0.236436
32.264586,0.039351
32.346929,0.843919
32.462894,0.209934
32.574496,0.220379
32.718902,0.025208
32.801247,0.610705
32.929406,0.220102
33.035231,0.218444
33.259453,0.835825
33.382185,0.225375
33.486107,0.206825
33.711347,0.534966
33.835697,0.251063
33.942899,0.211111
34.094325,0.034253
34.180891,0.769648
34.297381,0.182609
34.400797,0.199335
34.543919,0.044858
34.638698,0.528991
34.757759,0.224777
34.870563,0.229676
34.988908,0.021224
35.094351,0.816798
35.215149,0.228934
35.324659,0.242442
35.440032,0.019477
35.540094,0.589188
35.659146,0.216663
35.760429,0.209665
35.9065,0.029912
35.989698,0.774713
36.098895,0.270646
36.212848,0.255482
36.357819,0.02219
36.456657,0.701922
36.567626,0.245684
36.674348,0.213802
36.904634,0.624407
37.020224,0.222518
37.129946,0.173715
37.270789,0.018014
37.357742,0.590893
37.470006,0.246891
37.578775,0.205528
37.818968,0.647832
37.939169,0.210561
38.045692,0.168511
