Time,Peak
0.806134,0.008235
1.077747,0.016489
1.323086,0.002636
1.48344,0.014464
1.740006,0.005863
2.014319,0.015767
2.416009,0.004722
2.563789,0.010792
2.696653,0.015402
2.815038,0.003645
2.956123,0.02155
3.098064,0.006034
3.203603,0.044529
3.35161,0.00351
3.44954,0.012421
3.6149,0.027006
3.756577,0.020396
3.871897,0.003409
3.997539,0.013346
4.163945,0.026769
4.295283,0.013287
4.408602,0.003392
4.523231,0.015596
4.680837,0.01981
4.827834,0.019417
4.931784,0.241769
4.974516,0.261152
5.047017,0.053138
5.213017,0.004674
5.347504,0.034858
5.464557,0.004042
5.581562,0.008973
5.747976,0.029573
5.851082,0.021812
5.989897,0.006936
6.083211,0.008796
6.116135,0.00515
6.254562,0.025006
6.385258,0.011572
6.527164,0.002813
6.630781,0.172094
6.784413,0.380026
6.939616,0.008224
7.13834,0.016907
7.292304,0.008258
7.402043,0.006953
7.465257,0.024017
7.565521,0.237023
7.623096,0.019517
7.660294,0.054069
7.727819,0.004119
7.761666,0.0103
7.831525,0.007665
7.91148,0.005372
7.981001,0.020721
8.076704,0.00714
8.120732,0.014353
8.199568,0.003944
8.385656,0.232704
8.431313,0.160084
8.482068,0.012342
8.643454,0.029751
8.730558,0.242944
8.889267,0.00607
9.012098,0.277803
9.171723,0.003562
9.246195,0.009691
9.28176,0.004059
9.402562,0.009468
9.521333,0.009337
9.559262,0.020748
9.643634,0.11773
9.721058,0.245327
9.793761,0.296305
9.950247,0.434639
10.072847,0.004281
10.113705,0.445042
10.30878,0.285494
10.489109,0.447745
10.671669,0.107603
10.753961,0.095868
10.820915,0.115086
10.900681,0.158524
10.990582,0.370688
11.134176,0.030167
11.164921,0.472099
11.366947,0.298851
11.506819,0.004271
11.541889,0.272476
11.742791,0.148976
11.827036,0.09447
11.891122,0.193687
12.048695,0.326769
12.281197,0.168369
12.570069,0.01438
12.613357,0.004321
12.670506,0.281223
12.934393,0.117065
13.093214,0.008666
13.225498,0.158438
13.35882,0.003024
13.394246,0.005639
13.434256,0.004419
13.47522,0.20626
13.626083,0.004684
13.738788,0.113379
13.87605,0.004023
14.010284,0.379069
14.279537,0.210426
14.368846,0.004704
14.526664,0.348985
14.705542,0.005817
14.804248,0.289814
15.046883,0.197569
15.196644,0.004393
15.332448,0.491457
15.729965,0.008226
15.829977,0.004591
15.865035,0.028439
15.913789,0.077604
15.970523,0.080883
16.06663,0.125165
16.109779,0.112576
16.181537,0.065868
16.256699,0.461081
16.313408,0.015213
16.344885,0.010932
16.38907,0.010944
16.419216,0.278687
16.470938,0.002605
16.557692,0.00526
16.611652,0.327958
16.663487,0.00714
16.756105,0.008308
16.788989,0.25519
16.94327,0.096191
16.978176,0.061889
17.112794,0.047741
17.238889,0.002649
17.283773,0.199661
17.340547,0.003516
17.461697,0.213317
17.656483,0.255005
17.838018,0.186457
17.970886,0.007207
18.053446,0.135971
18.128382,0.133056
18.197352,0.2154
18.320156,0.003675
18.363739,0.297433
18.493555,0.012025
18.52759,0.281238
18.584289,0.002582
18.719159,0.189467
18.890356,0.228932
19.035699,0.239009
19.247177,0.1143
19.409913,0.357067
19.455151,0.042929
19.496453,0.039693
19.555047,0.01023
19.641361,0.088852
19.768908,0.193588
19.904438,0.056075
20.036931,0.150398
20.156087,0.017147
20.188959,0.391576
20.273882,0.076165
20.306847,0.011056
20.432676,0.077423
20.514927,0.004257
20.556698,0.414062
20.696117,0.132997
20.789206,0.166495
20.942631,0.393184
20.991097,0.018542
21.028846,0.062369
21.089896,0.019254
21.155155,0.007909
21.185889,0.159898
21.306959,0.453112
21.3633,0.008983
21.448309,0.057095
21.573801,0.546948
21.824131,0.01786
21.951282,0.008895
22.087859,0.018887
22.196043,0.38175
22.228794,0.142248
22.327496,0.009701
22.375311,0.006761
22.440544,0.003162
22.486279,0.065284
22.598548,0.020234
22.667333,0.004679
22.717837,0.200211
22.979515,0.427321
23.012204,0.011683
23.082665,0.003406
23.215154,0.003572
23.31383,0.007934
23.460081,0.015466
23.614875,0.609971
23.711949,0.139435
23.825102,0.18378
23.931998,0.003834
23.984783,0.54403
24.096243,0.012519
24.30983,0.009251
24.469958,0.009595
24.589577,0.278944
24.678011,0.009596
24.709758,0.242791
24.804655,0.18573
24.972069,0.372576
25.087816,0.010782
25.207025,0.005796
25.322167,0.005483
25.463268,0.013794
25.58958,0.560477
25.709079,0.207934
25.800239,0.149783
25.915625,0.00271
25.960781,0.608185
26.098922,0.190676
26.205844,0.003639
26.31009,0.503605
26.595195,0.637059
26.816781,0.009754
26.976406,0.567562
27.07942,0.2284
27.125206,0.106233
27.17954,0.020411
27.320021,0.529959
27.593606,0.552527
27.802764,0.003861
27.963245,0.406783
28.075415,0.242617
28.121456,0.028511
28.17572,0.003226
28.2574,0.007931
28.316851,0.496611
28.595184,0.452162
28.969372,0.520502
29.066584,0.075969
29.10757,0.039117
29.138622,0.046796
29.311699,0.447423
29.465675,0.007224
29.588346,0.39105
29.809747,0.006737
29.962861,0.430603
30.079237,0.271388
30.121127,0.095141
30.151061,0.009869
30.313951,0.519522
30.51991,0.007236
