Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
321,4,01:01,1,,,,,,,,,,,,,,
321,4,01:02,2,,,,,,,,,,,,,,
321,4,01:03,3,,,,,,,,,,,,,,
321,4,01:04,4,,,,,,,,,,,,,,
321,4,01:05,5,,,,,,,,,,,,,,
321,4,01:06,6,,,,,,,,,,,,,,
321,4,01:07,7,,,,,,,,,,,,,,
321,4,01:08,8,,,,,,,,,,,,,,
321,4,01:09,9,,,,,,,,,,,,,,
321,4,01:10,10,,,,,,,,,,,,,,
321,4,01:11,11,,,,,,,,,,,,,,
321,4,01:12,12,,,,,,,,,,,,,,
321,4,01:13,13,,,2.049816,,,,,,,,,,0.005278,
321,4,01:14,14,,,,,,,,,,,,,,
321,4,01:15,15,,,,,,,,,,,,,,
321,4,01:16,16,,,,,,,,,,,,,,
321,4,02:01,1,,,2.571809,,,,,,3.5,,,,0.029197,
321,4,02:02,2,2.687743,,,,,,2.5,,,,0.072584,,,
321,4,02:03,3,2.808951,,,,,,3,,,,0.070041,,,
321,4,02:04,4,2.941593,,2.931527,,,,3.5,,5,,0.088111,,0.009988,
321,4,02:05,5,3.092489,,,,,,3.5,,,,0.307606,,,
321,4,02:06,6,3.222104,,3.225729,3.203603,,,4,,5.5,5.5,0.072354,,0.006942,0.00351
321,4,02:07,7,3.345761,,,,,,4.5,,,,0.095679,,,
321,4,02:08,8,3.464537,,,3.44954,,,5,,,6,0.11665,,,0.027006
321,4,02:09,9,3.616191,,3.611234,3.6149,,,5,,6,6,0.29602,,0.040458,0.020396
321,4,02:10,10,3.749529,,,,,,5.5,,,,0.071433,,,
321,4,02:11,11,3.866008,,,,,,6,,,,0.179092,,,
321,4,02:12,12,3.992681,,,3.997539,,,6.5,,,7,0.158136,,,0.026769
321,4,02:13,13,4.156921,,4.154318,4.163945,,,6.5,,7,7,0.175568,,0.020822,0.013287
321,4,02:14,14,4.289168,,,,,,7,,,,0.069193,,,
321,4,02:15,15,4.403388,,,,,,7.5,,,,0.168712,,,
321,4,02:16,16,4.528062,,,4.523231,,,8,,,8,0.189697,,,0.01981
321,4,03:01,1,4.688415,,,4.680837,,,7.5,,,8,0.272113,,,0.019417
321,4,03:02,2,4.821184,,,,,,7.5,,,,0.083139,,,
321,4,03:03,3,4.934818,4.926459,4.947183,4.931784,,,8,2.5,7.5,8,0.164754,0.019254,0.108263,0.261152
321,4,03:04,4,5.058957,,,,,,8,,,,0.143128,,,
