Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
221,3,01:01,1,,,,,,,,,,,,,,
221,3,01:02,2,,,,,,,,,,,,,,
221,3,01:03,3,,,,,,,,,,,,,,
221,3,01:04,4,,,,,,,,,,,,,,
221,3,01:05,5,,,,,,,,,,,,,,
221,3,01:06,6,,,,,,,,,,,,,,
221,3,01:07,7,0.967522,,,,,,,,,,0.019727,,,
221,3,01:08,8,,,,,,,,,,,,,,
221,3,01:09,9,,,,,,,,,,,,,,
221,3,01:10,10,,,,,,,,,,,,,,
221,3,01:11,11,,,,,,,,,,,,,,
221,3,01:12,12,,,,,,,,,,,,,,
221,3,01:13,13,1.784823,,,,,,,,,,0.018949,,,
221,3,01:14,14,,,,,,,,,,,,,,
221,3,01:15,15,,,,,,,,,,,,,,
221,3,01:16,16,,,,,,,,,,,,,,
221,3,02:01,1,,,,,,,,,,,,,,
221,3,02:02,2,,,,,,,,,,,,,,
221,3,02:03,3,,,,,,,,,,,,,,
221,3,02:04,4,,,2.711893,,,,,,1.5,,,,0.008235,
221,3,02:05,5,,,,,,,,,,,,,,
221,3,02:06,6,,,,,,,,,,,,,,
221,3,02:07,7,,,3.074442,,,,,,2,,,,0.007799,
221,3,02:08,8,,,,,,,,,,,,,,
221,3,02:09,9,,,,,,,,,,,,,,
221,3,02:10,10,,,,,,,,,,,,,,
221,3,02:11,11,3.541522,,3.588613,,,,1,,3,,0.019523,,0.011221,
221,3,02:12,12,,,,,,,,,,,,,,
221,3,02:13,13,3.810827,,,,,,1,,,,0.533796,,,
221,3,02:14,14,,,,,,,,,,,,,,
221,3,02:15,15,,,,,,,,,,,,,,
221,3,02:16,16,,,,,,,,,,,,,,
221,3,03:01,1,,,4.341928,,,,,,3.5,,,,0.040603,
221,3,03:02,2,4.443506,,,,,,1.5,,,,0.068342,,,
221,3,03:03,3,4.575604,,,,,,2,,,,0.119276,,,
221,3,03:04,4,4.682493,,4.685866,,,,2.5,,4,,0.161869,,0.01718,
221,3,03:05,5,4.813974,,,,,,3,,,,0.607104,,,
221,3,03:06,6,4.932439,,,,,,3.5,,,,0.091045,,,
