Take,SD,Cycle,CycleTime,Iso.Time,C_hit,C_vel,C_off,P_hit,P_vel,P_off,R1_hit,R1_vel,R1_off
232,1,1,0.060308389,0.060308389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,2,1,,0.1784750556875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,3,1,,0.296641722375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,4,1,,0.41480838906250006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,5,1,,0.53297505575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,6,1,,0.6511417224375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,7,1,,0.7693083891250001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,8,1,,0.8874750558125001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,9,1,,1.0056417225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,10,1,,1.1238083891875001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,11,1,,1.241975055875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,12,1,,1.3601417225625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,13,1,,1.4783083892500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,14,1,,1.5964750559375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,15,1,,1.7146417226250001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,16,1,,1.8328083893125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,1,2,1.950975056,1.950975056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,2,2,,2.0653083893125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,3,2,,2.179641722625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,4,2,,2.2939750559375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016589,0.22775461283304685
232,5,2,,2.40830838925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,6,2,,2.5226417225625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01066,0.06291496302166516
232,7,2,,2.6369750558750003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,8,2,,2.7513083891875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.007471,-0.11073226696624057
232,9,2,,2.8656417225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010965,0.12947473034429213
232,10,2,,2.9799750558125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,11,2,,3.094308389125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,12,2,,3.2086417224375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011437,-0.08025413212103748
232,13,2,,3.3229750557499997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011689,0.22679251534744846
232,14,2,,3.4373083890625002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,15,2,,3.551641722375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,16,2,,3.6659750556875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014167,0.020737122270544067
232,1,3,3.780308389,3.780308389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.018203,0.12582996766235938
232,2,3,,3.893696409875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,3,3,,4.00708443075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,4,3,,4.120472451625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.021462,0.03803354482881717
232,5,3,,4.2338604725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,6,3,,4.347248493375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013709,-0.08350523540258022
232,7,3,,4.46063651425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,8,3,,4.574024535125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016159,-0.2438664588341591
232,9,3,,4.687412556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012552,0.13682612925313486
232,10,3,,4.800800576875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,11,3,,4.91418859775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,12,3,,5.027576618625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017468,-0.13416424863584708
232,13,3,,5.1409646395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.351691,0.15904996278117406
