Take,SD,Cycle,CycleTime,Iso.Time,C_hit,C_vel,C_off,P_hit,P_vel,P_off,R1_hit,R1_vel,R1_off
242,1,1,2.034535147,2.034535147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.042175,0.04705837620754739
242,2,1,,2.1768658761875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.040058,0.0219005679960614
242,3,1,,2.319196605375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.040824,-0.0618320823987823
242,4,1,,2.4615273345625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053346,-0.05767085301507067
242,5,1,,2.60385806375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.051804,-0.10503047258548667
242,6,1,,2.7461887929375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.032741,-0.12148320349516394
242,7,1,,2.8885195221249997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.033611,-0.19661616493325315
242,8,1,,3.0308502513124997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047194,-0.23823563264283107
242,9,1,,3.1731809804999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.055427,0.2595013719865366
242,10,1,,3.3155117096874998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.059456,0.19147861089503723
242,11,1,,3.4578424388749998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.066255,0.09854907092144637
242,12,1,,3.6001731680624998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.069531,0.045905982318779334
242,13,1,,3.7425038972499998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.074202,0.004103841477766587
242,14,1,,3.8848346264374998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.090396,-0.039201839752744515
242,15,1,,4.027165355625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.074655,-0.1054681284266079
242,16,1,,4.1694960848125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.079196,-0.16950721007490518
242,1,2,4.311826814,4.311826814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.090324,-0.19550161063195012
242,2,2,,4.455850251499999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.064963,0.18920356973149616
242,3,2,,4.599873689,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.039328,0.11635127789530893
242,4,2,,4.7438971265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.046011,0.07106394401952802
242,5,2,,4.887920564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029891,0.009091825766209448
242,6,2,,5.031944001499999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.057241,-0.09510258703552879
242,7,2,,5.175967439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.039774,-0.19863738497423505
242,8,2,,5.3199908765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053343,-0.2632063027936018
242,9,2,,5.464014314,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.066184,-0.35396540233252144
242,10,2,,5.6080377514999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.085676,0.14562385722810406
242,11,2,,5.752061189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.078608,0.059836170762135314
242,12,2,,5.8960846265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.070706,0.02881040455654857
242,13,2,,6.040108064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.089749,-0.034973918741522315
242,14,2,,6.1841315015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.073088,-0.10170915063737462
