Take,SD,Cycle,CycleTime,Iso.Time,C_hit,C_vel,C_off,P_hit,P_vel,P_off,R1_hit,R1_vel,R1_off
311,1,1,0.188785431,0.188785431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,2,1,,0.32460574350000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,3,1,,0.46042605600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,4,1,,0.5962463685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,5,1,,0.732066681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,6,1,,0.8678869935000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,7,1,,1.003707306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,8,1,,1.1395276185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,9,1,,1.2753479310000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,10,1,,1.4111682435000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,11,1,,1.546988556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,12,1,,1.6828088685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,13,1,,1.818629181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,14,1,,1.9544494935000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,15,1,,2.0902698060000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,16,1,,2.2260901185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,1,2,2.361910431,2.361910431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,2,2,,2.49239871225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,3,2,,2.6228869935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,4,2,,2.75337527475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020943,-0.1604916131118122
311,5,2,,2.883863556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,6,2,,3.01435183725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,7,2,,3.1448401185000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025174,-0.08873684586140008
311,8,2,,3.2753283997500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,9,2,,3.405816681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,10,2,,3.53630496225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,11,2,,3.6667932435,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025339,-0.04360731435413628
311,12,2,,3.7972815247500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,13,2,,3.927769806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01546,0.1304423189342898
311,14,2,,4.05825808725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,15,2,,4.1887463685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,16,2,,4.31923464975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,1,3,4.449722931,4.449722931,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00552,0.1329798974175228
311,2,3,,4.58056277475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
