Take,SD,Cycle,CycleTime,Iso.Time,C_hit,C_vel,C_off,P_hit,P_vel,P_off,R1_hit,R1_vel,R1_off
221,1,1,0.141815476,0.141815476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,2,1,,0.2750576635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,3,1,,0.408299851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,4,1,,0.5415420385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,5,1,,0.674784226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,6,1,,0.8080264135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,7,1,,0.941268601,1.0,0.019727,0.1970351845206685,0.0,0.0,0.0,0.0,0.0,0.0
221,8,1,,1.0745107885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,9,1,,1.207752976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,10,1,,1.3409951635000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,11,1,,1.4742373510000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,12,1,,1.6074795384999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,13,1,,1.7407217259999999,1.0,0.018949,0.33098581483436085,0.0,0.0,0.0,0.0,0.0,0.0
221,14,1,,1.8739639135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,15,1,,2.007206101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,16,1,,2.1404482885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,1,2,2.273690476,2.273690476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,2,2,,2.401208705125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,3,2,,2.5287269342500003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,4,2,,2.656245163375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008235,0.4363912281941353
221,5,2,,2.7837633925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,6,2,,2.911281621625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,7,2,,3.0387998507500003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.007799,0.27950630662429704
221,8,2,,3.1663180798750004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,9,2,,3.2938363090000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,10,2,,3.4213545381250006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,11,2,,3.5488727672500002,1.0,0.019523,-0.057644834785107915,0.0,0.0,0.0,1.0,0.011221,0.31164354322270543
221,12,2,,3.6763909963750003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,13,2,,3.8039092255000004,1.0,0.533796,0.054249298688257216,0.0,0.0,0.0,0.0,0.0,0.0
221,14,2,,3.931427454625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,15,2,,4.05894568375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,16,2,,4.186463912875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,1,3,4.313982142,4.313982142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.040603,0.22933364965551753
221,2,3,,4.435838912875,1.0,0.068342,0.06291884373716973,0.0,0.0,0.0,0.0,0.0,0.0
221,3,3,,4.5576956837500004,1.0,0.119276,0.1469620122165398,0.0,0.0,0.0,0.0,0.0,0.0
221,4,3,,4.679552454625,1.0,0.161869,0.024131161148332064,0.0,0.0,0.0,1.0,0.01718,0.05181119875132964
221,5,3,,4.8014092255000005,1.0,0.607104,0.10311100819246562,0.0,0.0,0.0,0.0,0.0,0.0
221,6,3,,4.923265996375,1.0,0.091045,0.07527693011338006,0.0,0.0,0.0,0.0,0.0,0.0
221,7,3,,5.0451227672500005,1.0,0.110476,0.09330817375476587,0.0,0.0,0.0,1.0,0.011289,0.13816411373045426
221,8,3,,5.166979538125,1.0,0.146398,0.04211880749954411,0.0,0.0,0.0,0.0,0.0,0.0
221,9,3,,5.288836309000001,1.0,0.505669,0.0635721014464269,0.0,0.0,0.0,0.0,0.0,0.0
221,10,3,,5.410693079875,1.0,0.077826,0.03711669111632285,0.0,0.0,0.0,0.0,0.0,0.0
221,11,3,,5.53254985075,1.0,0.086807,0.008100897823829776,0.0,0.0,0.0,1.0,0.0085,0.05482788688741641
221,12,3,,5.654406621625,1.0,0.117857,0.017843722260048805,0.0,0.0,0.0,0.0,0.0,0.0
221,13,3,,5.7762633925,1.0,0.439671,0.005511450001322491,0.0,0.0,0.0,1.0,0.038772,0.2945557086591425
221,14,3,,5.898120163375,1.0,0.086139,0.011938906755470432,0.0,0.0,0.0,0.0,0.0,0.0
221,15,3,,6.01997693425,1.0,0.087001,0.016757917802492726,1.0,0.185676,0.14244646091767638,0.0,0.0,0.0
