Cycle,Time
1.1,3.41047619
1.2,4.031142856
1.3,4.64047619
1.4,5.235142856
2.1,5.84047619
2.2,6.453809523
2.3,7.04847619
2.4,7.63247619
3.1,8.227142856
3.2,8.82547619
3.3,9.429809523
3.4,10.01797619
4.1,10.60580952
4.2,11.19247619
4.3,11.78847619
4.4,12.36547619
5.1,12.95247619
5.2,13.54580952
5.3,14.11672619
5.4,14.71297619
6.1,15.27922619
6.2,15.85647619
6.3,16.43514286
6.4,17.02297619
7.1,17.60797619
7.2,18.19297619
7.3,18.77797619
7.4,19.36860119
8.1,19.95547619
8.2,20.55547619
8.3,21.14797619
8.4,21.72922619
9.1,22.31422619
9.2,22.90297619
9.3,23.48047619
9.4,24.06922619
10.1,24.65422619
10.2,25.23922619
10.3,25.82422619
10.4,26.42797619
11.1,27.02797619
11.2,27.61110119
11.3,28.20547619
11.4,28.81297619
12.1,29.41672619
12.2,30.01297619
12.3,30.59047619
12.4,31.18672619
13.1,31.77922619
13.2,32.37360119
13.3,32.97547619
13.4,33.57922619
14.1,34.16985119
14.2,34.79610119
14.3,35.38297619
14.4,35.99422619
15.1,36.60547619
15.2,37.20172619
15.3,37.79797619
15.4,38.37547619
16.1,38.97922619
16.2,39.57547619
16.3,40.15672619
16.4,40.75110119
17.1,41.34735119
17.2,41.96047619
17.3,42.56235119
17.4,43.18297619
18.1,43.77547619
18.2,44.39618452
18.3,44.99422619
18.4,45.60470536
19.1,46.20172619
19.2,46.82235119
19.3,47.42047619
19.4,48.02422619
20.1,48.61297619
20.2,49.21860119
20.3,49.84110119
20.4,50.45047619
21.1,51.05047619
21.2,51.66735119
21.3,52.26547619
21.4,52.87297619
22.1,53.47860119
22.2,54.10672619
22.3,54.71422619
22.4,55.33297619
23.1,55.93672619
23.2,56.54797619
23.3,57.16110119
23.4,57.76297619
24.1,58.37422619
24.2,58.99672619
24.3,59.59297619
24.4,60.19297619
25.1,60.80422619
25.2,61.40985119
25.3,62.02772619
25.4,62.63985119
26.1,63.26176786
26.2,63.87172619
26.3,64.48672619
26.4,65.09047619
27.1,65.69422619
27.2,66.32391369
27.3,66.92985119
27.4,67.55003869
28.1,68.18047619
28.2,68.79683036
28.3,69.40297619
28.4,70.01422619
29.1,70.63672619
29.2,71.24047619
29.3,71.85922619
29.4,72.46672619
30.1,73.08922619
30.2,73.68172619
30.3,74.29672619
30.4,74.90047619
31.1,75.53235119
31.2,76.12485119
31.3,76.73422619
31.4,77.36422619
32.1,77.97547619
32.2,78.58485119
32.3,79.19985119
32.4,79.83428869
33.1,80.44672619
33.2,81.06172619
33.3,81.68047619
33.4,82.30672619
34.1,82.91422619
34.2,83.54047619
34.3,84.15922619
34.4,84.77422619
35.1,85.37610119
35.2,85.99297619
35.3,86.61547619
35.4,87.21922619
36.1,87.83047619
36.2,88.45672619
36.3,89.06235119
36.4,89.68297619
37.1,90.29797619
37.2,90.91297619
37.3,91.54297619
37.4,92.16547619
38.1,92.77860119
38.2,93.38955952
38.3,93.99922619
38.4,94.60672619
39.1,95.21610119
39.2,95.82922619
39.3,96.44047619
39.4,97.04610119
40.1,97.66672619
40.2,98.27047619
40.3,98.88172619
40.4,99.47610119
41.1,100.0817262
41.2,100.6929762
41.3,101.2967262
41.4,101.9117262
42.1,102.5173512
42.2,103.1379762
42.3,103.7379762
42.4,104.3567262
43.1,104.9604762
43.2,105.5642262
43.3,106.1717262
43.4,106.7829762
44.1,107.4054762
44.2,108.0017262
44.3,108.6111012
44.4,109.2223512
45.1,109.8392262
45.2,110.4617262
45.3,111.0654762
45.4,111.6786012
46.1,112.2767262
46.2,112.8842262
46.3,113.4917262
46.4,114.1067262
47.1,114.7142262
47.2,115.3254762
47.3,115.9254762
47.4,116.5142262
48.1,117.1404762
48.2,117.7367262
48.3,118.3442262
48.4,118.9629762
49.1,119.5817262
49.2,120.1779762
49.3,120.7854762
49.4,121.3929762
50.1,122.0042262
50.2,122.6117262
50.3,123.2229762
50.4,123.8404554
51.1,124.4342262
51.2,125.0567262
51.3,125.6529762
51.4,126.2604762
52.1,126.8661012
52.2,127.4867262
52.3,128.0867262
52.4,128.7054762
53.1,129.3054762
53.2,129.9279762
53.3,130.5354762
53.4,131.1504762
54.1,131.7802262
54.2,132.4010179
54.3,133.0179762
54.4,133.6292262
55.1,134.2292262
55.2,134.8367262
55.3,135.4517262
55.4,136.0554762
56.1,136.6629762
56.2,137.2808512
56.3,137.8798512
56.4,138.507247
57.1,139.0948512
57.2,139.7117262
57.3,140.3192262
57.4,140.9304762
58.1,141.5342262
58.2,142.1604762
58.3,142.7773929
58.4,143.3889345
59.1,143.9979762
59.2,144.5848512
59.3,145.1998512
59.4,145.8092262
60.1,146.415622
60.2,147.0392262
60.3,147.6411012
60.4,148.2561012
61.1,148.8729762
61.2,149.4917262
61.3,150.1048512
61.4,150.7329762
62.1,151.3404762
62.2,151.9667262
62.3,152.5854762
62.4,153.1929762
63.1,153.8117262
63.2,154.4342262
63.3,155.0529762
63.4,155.6754762
64.1,156.2979762
64.2,156.9167262
64.3,157.5373512
64.4,158.1714762
65.1,158.7992262
65.2,159.4142262
65.3,160.0329762
65.4,160.6667262
66.1,161.2779762
66.2,161.9042262
66.3,162.5351637
66.4,163.1567262
67.1,163.7717262
67.2,164.3904762
67.3,165.0129762
67.4,165.6204762
68.1,166.2392262
68.2,166.8673512
68.3,167.4729762
68.4,168.0842262
69.1,168.6973512
69.2,169.3179762
69.3,169.9329762
69.4,170.5554762
70.1,171.1479762
70.2,171.7742262
70.3,172.3817262
70.4,172.9854762
71.1,173.6004762
71.2,174.2154762
71.3,174.8229762
71.4,175.4342262
72.1,176.0473512
72.2,176.6417262
72.3,177.2511012
72.4,177.8642262
