Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
211,3,01:01,1,,,,,,,,,,,,,,
211,3,01:02,2,,,,,,,,,,,,,,
211,3,01:03,3,,,,,,,,,,,,,,
211,3,01:04,4,,,3.885748,,,,,,0.5,,,,0.032734,
211,3,01:05,5,,,,,,,,,,,,,,
211,3,01:06,6,,,,,,,,,,,,,,
211,3,01:07,7,,,4.308084,,,,,,1,,,,0.029069,
211,3,01:08,8,,,,,,,,,,,,,,
211,3,01:09,9,,,,,,,,,,,,,,
211,3,01:10,10,,,,,,,,,,,,,,
211,3,01:11,11,,,4.942247,,,,,,1.5,,,,0.037569,
211,3,01:12,12,,,,,,,,,,,,,,
211,3,01:13,13,,,5.252828,,,,,,2,,,,0.034282,
211,3,01:14,14,,,,,,,,,,,,,,
211,3,01:15,15,,,,,,,,,,,,,,
211,3,01:16,16,,,,,,,,,,,,,,
211,3,02:01,1,,,5.884139,,,,,,2.5,,,,0.03661,
211,3,02:02,2,,,,,,,,,,,,,,
211,3,02:03,3,,,,,,,,,,,,,,
211,3,02:04,4,,,6.29058,,,,,,2.5,,,,0.038337,
211,3,02:05,5,,,,,,,,,,,,,,
211,3,02:06,6,,,,,,,,,,,,,,
211,3,02:07,7,,,6.74439,,,,,,2.5,,,,0.030779,
211,3,02:08,8,,,,,,,,,,,,,,
211,3,02:09,9,,,,,,,,,,,,,,
211,3,02:10,10,,,,,,,,,,,,,,
211,3,02:11,11,,,7.319926,,,,,,2,,,,0.04039,
211,3,02:12,12,,,,,,,,,,,,,,
211,3,02:13,13,,,7.636224,,,,,,2.5,,,,0.039882,
211,3,02:14,14,,,,,,,,,,,,,,
211,3,02:15,15,,,,,,,,,,,,,,
211,3,02:16,16,,,,,,,,,,,,,,
211,3,03:01,1,,,8.242585,,,,,,2.5,,,,0.03914,
211,3,03:02,2,,,,,,,,,,,,,,
211,3,03:03,3,,,,,,,,,,,,,,
211,3,03:04,4,,,8.659245,,,,,,2.5,,,,0.039103,
211,3,03:05,5,,,,,,,,,,,,,,
211,3,03:06,6,,,,,,,,,,,,,,
211,3,03:07,7,,,9.099427,,,,,,2.5,,,,0.034531,
211,3,03:08,8,,,,,,,,,,,,,,
211,3,03:09,9,,,,,,,,,,,,,,
211,3,03:10,10,,,,,,,,,,,,,,
211,3,03:11,11,,,,,,,,,,,,,,
211,3,03:12,12,,,,,,,,,,,,,,
211,3,03:13,13,,,,,,,,,,,,,,
211,3,03:14,14,,,,,,,,,,,,,,
211,3,03:15,15,,,,,,,,,,,,,,
211,3,03:16,16,,,,,,,,,,,,,,
211,3,04:01,1,,,10.638248,,,,,,1.5,,,,0.039924,
211,3,04:02,2,,,,,,,,,,,,,,
211,3,04:03,3,,,,,,,,,,,,,,
211,3,04:04,4,,,11.036801,,,,,,1.5,,,,0.036891,
211,3,04:05,5,,,,,,,,,,,,,,
211,3,04:06,6,,,,,,,,,,,,,,
211,3,04:07,7,,,11.477276,,,,,,1.5,,,,0.022712,
211,3,04:08,8,,,,,,,,,,,,,,
211,3,04:09,9,,,,,,,,,,,,,,
211,3,04:10,10,,,,,,,,,,,,,,
211,3,04:11,11,,,12.081757,,,,,,2,,,,0.035061,
211,3,04:12,12,,,,,,,,,,,,,,
211,3,04:13,13,,,12.392117,,,,,,2.5,,,,0.122552,
211,3,04:14,14,,,,,,,,,,,,,,
211,3,04:15,15,,,,,,,,,,,,,,
211,3,04:16,16,,,12.782486,,,,,,2.5,,,,0.149126,
211,3,05:01,1,,,12.965259,,,,,,3.5,,,,0.663494,
211,3,05:02,2,13.145046,,,,,,2,,,,0.152474,,,
211,3,05:03,3,13.259541,,,,,,2.5,,,,0.109505,,,
211,3,05:04,4,13.407042,,13.38145,,,,3,,4,,0.06468,,0.47299,
211,3,05:05,5,13.550876,,13.575423,,,,3.5,,4,,0.098888,,0.180113,
211,3,05:06,6,13.720389,,,,,,4,,,,0.061261,,,
211,3,05:07,7,13.871297,,13.802037,,,,4.5,,4.5,,0.09108,,0.161244,
211,3,05:08,8,,,13.954587,,,,,,5.5,,,,0.556879,
211,3,05:09,9,14.129611,,14.123555,,,,5,,5.5,,0.211819,,0.391798,
211,3,05:10,10,14.302885,,14.311506,,,,5.5,,6,,0.105107,,0.010165,
211,3,05:11,11,14.418037,,,,,,6,,,,0.136553,,,
211,3,05:12,12,14.537857,,14.531512,,,,6.5,,6.5,,0.358647,,0.006928,
211,3,05:13,13,14.717579,,14.724012,,,,7,,7.5,,0.249378,,0.313962,
211,3,05:14,14,14.855613,,14.864037,,,,7,,7,,0.127467,,0.541773,
211,3,05:15,15,15.010262,14.991603,,,,,7,0.5,,,0.145968,0.467569,,
211,3,05:16,16,15.133365,,15.103886,,,,7.5,,7,,0.451785,,0.032843,
211,3,06:01,1,15.317212,15.303266,15.293143,,,,7,1,7,,0.364642,0.864804,0.074063,
211,3,06:02,2,15.469337,,15.440521,,,,7,,7,,0.111312,,0.010161,
211,3,06:03,3,15.58834,,15.550095,,,,7,,7.5,,0.079872,,0.040651,
211,3,06:04,4,15.714976,15.702778,15.707002,,,,7.5,1.5,7.5,,0.147939,0.333307,0.018868,
211,3,06:05,5,15.872324,,15.871975,,,,7,,7,,0.170564,,0.008691,
211,3,06:06,6,16.022502,16.017765,15.978629,,,,7,2,7,,0.177456,0.211631,0.050172,
211,3,06:07,7,16.158319,,16.141995,,,,7,,7,,0.257025,,0.049381,
211,3,06:08,8,16.285473,,16.275275,,,,7.5,,7.5,,0.209413,,0.011979,
211,3,06:09,9,16.438674,16.454507,16.432233,,,,7,2.5,7.5,,0.265904,0.622816,0.050985,
211,3,06:10,10,16.582624,,16.599367,,,,7,,7,,0.135207,,0.057286,
211,3,06:11,11,16.722939,16.722408,16.735212,,,,7,3,6.5,,0.172587,0.337052,0.007601,
211,3,06:12,12,16.848766,,16.85355,,,,7.5,,7,,0.286564,,0.053628,
211,3,06:13,13,17.033108,17.045208,17.036692,,,,7,3,7,,0.475371,0.153997,0.059003,
211,3,06:14,14,17.181123,,17.176345,,,,7,,7,,0.130706,,0.010803,
211,3,06:15,15,17.319937,,17.291172,,,,7,,7.5,,0.183268,,0.027189,
211,3,06:16,16,17.453345,,17.448525,,,,7.5,,7,,0.272444,,0.04014,
211,3,07:01,1,17.611148,17.638245,17.619132,,,,7,3,7,,0.407742,0.346378,0.055759,
211,3,07:02,2,17.771514,,17.774178,,,,7,,7,,0.12633,,0.015482,
211,3,07:03,3,17.888455,,17.900264,,,,7,,7,,0.265823,,0.04064,
211,3,07:04,4,18.028102,18.039182,18.05236,,,,7,2.5,7,,0.215958,0.051014,0.025156,
211,3,07:05,5,18.193196,,18.216558,,,,7,,7,,0.285162,,0.013889,
211,3,07:06,6,18.343026,18.352483,18.329573,,,,7,3.5,7,,0.176829,0.125132,0.042169,
211,3,07:07,7,18.479423,,18.494433,,,,7,,7,,0.313791,,0.089802,
211,3,07:08,8,18.617322,,18.622756,,,,7,,7,,0.302589,,0.011964,
211,3,07:09,9,18.786865,18.81023,18.78485,,,,7,3,7,,0.322522,0.33884,0.043179,
211,3,07:10,10,18.940265,,18.932306,,,,7,,7,,0.166605,,0.011315,
211,3,07:11,11,19.066088,19.072123,,,,,7,3,,,0.336845,0.281455,,
211,3,07:12,12,19.194732,,19.178578,,,,7,,7,,0.419879,,0.04204,
211,3,07:13,13,19.385166,19.399351,19.379341,,,,7,3.5,7,,0.470265,0.13669,0.007959,
211,3,07:14,14,19.525601,,,,,,7,,,,0.163972,,,
211,3,07:15,15,19.65819,,,,,,7,,,,0.398927,,,
211,3,07:16,16,19.794798,,19.809252,,,,7,,6.5,,0.396076,,0.323815,
211,3,08:01,1,19.964218,19.981667,,,,,7,3.5,,,0.299496,0.616911,,
211,3,08:02,2,20.124137,,20.122431,,,,7,,6,,0.204216,,0.007365,
211,3,08:03,3,20.242085,,,,,,7,,,,0.398284,,,
211,3,08:04,4,20.394666,20.404317,,,,,7,2.5,,,0.265148,0.431561,,
211,3,08:05,5,20.563097,,20.568621,,,,7,,5.5,,0.387863,,0.266917,
211,3,08:06,6,20.71225,20.719649,20.690917,,,,7,3,5.5,,0.160805,0.151845,0.14826,
211,3,08:07,7,20.849663,,,,,,7,,,,0.278221,,,
211,3,08:08,8,20.987299,,20.976537,,,,7,,5.5,,0.240476,,0.321014,
211,3,08:09,9,21.156219,21.163103,,,,,7,2.5,,,0.386239,0.378223,,
211,3,08:10,10,21.301723,,21.293574,,,,7,,5,,0.15378,,0.00661,
211,3,08:11,11,21.42757,21.438312,,,,,7,2.5,,,0.250217,0.318152,,
211,3,08:12,12,21.559149,,,,,,7,,,,0.379369,,,
211,3,08:13,13,21.737857,21.76291,21.757084,,,,7,3,5,,0.57185,0.25356,0.199519,
211,3,08:14,14,21.880174,,21.85543,,,,7,,5,,0.180319,,0.141479,
211,3,08:15,15,22.016167,,,,,,7,,,,0.340423,,,
211,3,08:16,16,22.152543,,22.14262,,,,7,,5.5,,0.376765,,0.374987,
211,3,09:01,1,22.316292,22.338706,22.325263,,,,7,3,6,,0.318021,0.58158,0.469229,
211,3,09:02,2,22.476134,,22.504412,,,,7,,6,,0.137253,,0.016346,
211,3,09:03,3,22.604161,,,,,,7,,,,0.375647,,,
211,3,09:04,4,22.749741,22.760022,22.727113,,,,7,2.5,5.5,,0.223841,0.391809,0.448341,
211,3,09:05,5,22.903104,,22.921803,,,,7,,5.5,,0.575124,,0.290321,
211,3,09:06,6,23.044086,23.078717,23.04744,,,,7,3,5.5,,0.203475,0.146981,0.103572,
211,3,09:07,7,23.1901,,,,,,7,,,,0.20404,,,
211,3,09:08,8,23.332185,,23.311288,,,,7,,6.5,,0.402638,,0.007816,
211,3,09:09,9,23.489467,23.527924,,,,,7,2.5,,,0.441419,0.433413,,
211,3,09:10,10,23.638081,,23.636857,,,,7,,7,,0.191085,,0.009559,
211,3,09:11,11,23.770562,23.777928,,,,,7,2.5,,,0.409386,0.445536,,
211,3,09:12,12,23.900964,,,,,,7,,,,0.443004,,,
211,3,09:13,13,24.09105,24.099831,24.07838,,,,7,3,6.5,,0.408466,0.384016,0.114476,
211,3,09:14,14,24.233377,,24.212542,,,,7,,6.5,,0.178409,,0.121144,
211,3,09:15,15,24.366614,,24.363816,,,,7,,6.5,,0.230904,,0.145491,
211,3,09:16,16,24.496738,,24.479225,,,,7,,7,,0.554182,,0.305266,
211,3,10:01,1,24.663953,,24.675626,,,,7,,7,,0.512148,,0.030446,
211,3,10:02,2,24.824497,,,,,,7,,,,0.171396,,,
211,3,10:03,3,24.947932,,,,,,7,,,,0.444888,,,
211,3,10:04,4,25.088471,25.106253,25.085773,,,,7,2.5,6,,0.394169,0.354638,0.006314,
211,3,10:05,5,25.245844,,,,,,7,,,,0.566563,,,
211,3,10:06,6,25.386522,25.408279,,,,,7,3,,,0.266202,0.1706,,
211,3,10:07,7,25.523951,,25.55115,,,,7,,5.5,,0.362617,,0.051546,
211,3,10:08,8,25.667842,,,,,,7,,,,0.40099,,,
211,3,10:09,9,25.830132,25.86704,,,,,7,2.5,,,0.539636,0.373218,,
