Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
213,3,01:01,1,,,,,,,,,,,,,,
213,3,01:02,2,,,,,,,,,,,,,,
213,3,01:03,3,,,,,,,,,,,,,,
213,3,01:04,4,,,2.100089,,,,,,1.5,,,,0.03261,
213,3,01:05,5,,,,,,,,,,,,,,
213,3,01:06,6,,,,,,,,,,,,,,
213,3,01:07,7,,,2.434808,,,,,,2,,,,0.025709,
213,3,01:08,8,,,,,,,,,,,,,,
213,3,01:09,9,,,,,,,,,,,,,,
213,3,01:10,10,,,,,,,,,,,,,,
213,3,01:11,11,,,2.912713,,,,,,2.5,,,,0.032887,
213,3,01:12,12,,,,,,,,,,,,,,
213,3,01:13,13,,,3.171194,,,,,,3,,,,0.007699,
213,3,01:14,14,,,,,,,,,,,,,,
213,3,01:15,15,,,,,,,,,,,,,,
213,3,01:16,16,,,,,,,,,,,,,,
213,3,02:01,1,,,3.652146,,,,,,3.5,,,,0.028955,
213,3,02:02,2,,,,,,,,,,,,,,
213,3,02:03,3,,,,,,,,,,,,,,
213,3,02:04,4,,,3.99148,,,,,,3.5,,,,0.025255,
213,3,02:05,5,,,,,,,,,,,,,,
213,3,02:06,6,,,,,,,,,,,,,,
213,3,02:07,7,,,4.347521,,,,,,3.5,,,,0.024879,
213,3,02:08,8,,,,,,,,,,,,,,
213,3,02:09,9,,,,,,,,,,,,,,
213,3,02:10,10,,,,,,,,,,,,,,
213,3,02:11,11,,,4.802106,,,,,,3.5,,,,0.03407,
213,3,02:12,12,,,,,,,,,,,,,,
213,3,02:13,13,,,5.058743,,,,,,3.5,,,,0.009299,
213,3,02:14,14,,,,,,,,,,,,,,
213,3,02:15,15,,,,,,,,,,,,,,
213,3,02:16,16,,,,,,,,,,,,,,
213,3,03:01,1,,,5.539458,,,,,,3.5,,,,0.033306,
213,3,03:02,2,,,,,,,,,,,,,,
213,3,03:03,3,,,,,,,,,,,,,,
213,3,03:04,4,,,5.881503,,,,,,3.5,,,,0.031523,
213,3,03:05,5,,,,,,,,,,,,,,
213,3,03:06,6,,,,,,,,,,,,,,
213,3,03:07,7,,,6.253784,,,,,,3.5,,,,0.024861,
213,3,03:08,8,,,,,,,,,,,,,,
213,3,03:09,9,,,,,,,,,,,,,,
213,3,03:10,10,,,,,,,,,,,,,,
213,3,03:11,11,,,6.708803,,,,,,3.5,,,,0.039333,
213,3,03:12,12,,,,,,,,,,,,,,
213,3,03:13,13,,,6.975256,,,,,,3.5,,,,0.009548,
213,3,03:14,14,,,,,,,,,,,,,,
213,3,03:15,15,,,,,,,,,,,,,,
