Cycle,Time
1.1,1.749895691
1.2,2.211729025
1.3,2.691729025
1.4,3.163229025
2.1,3.640562358
2.2,4.108562358
2.3,4.579229025
2.4,5.051229025
3.1,5.531229025
3.2,6.010479025
3.3,6.480562358
3.4,6.966729025
4.1,7.453895691
4.2,7.934229025
4.3,8.436729025
4.4,8.931729025
5.1,9.407979025
5.2,9.889708191
5.3,10.38860403
5.4,10.87797903
6.1,11.36922903
6.2,11.85672903
6.3,12.33954153
6.4,12.81656236
7.1,13.29672903
7.2,13.76322903
7.3,14.22456236
7.4,14.69079153
8.1,15.14989569
8.2,15.60589569
8.3,16.06989569
8.4,16.53766653
9.1,17.00322903
9.2,17.45922903
9.3,17.92589569
9.4,18.39256236
10.1,18.85047903
10.2,19.30722903
10.3,19.76641653
10.4,20.22989569
11.1,20.70204153
11.2,21.17547903
11.3,21.64797903
11.4,22.12329153
12.1,22.59672903
12.2,23.06079153
12.3,23.53329153
12.4,24.01389569
13.1,24.49389569
13.2,24.96766653
13.3,25.43522903
13.4,25.90985403
14.1,26.37954153
14.2,26.85954153
14.3,27.33579153
14.4,27.81122903
15.1,28.28056236
15.2,28.76258319
15.3,29.22806236
15.4,29.70391653
16.1,30.17641653
16.2,30.64056236
16.3,31.12056236
16.4,31.59789569
17.1,32.06172903
17.2,32.55016653
17.3,33.02829153
17.4,33.50754153
18.1,33.97422903
18.2,34.44954153
18.3,34.92958319
18.4,35.40056236
19.1,35.88297903
19.2,36.35547903
19.3,36.83454153
19.4,37.29672903
20.1,37.77297903
20.2,38.26141653
20.3,38.73860403
20.4,39.20589569
21.1,39.69122903
21.2,40.16322903
21.3,40.62722903
21.4,41.10189569
22.1,41.58189569
22.2,42.05641653
22.3,42.52356236
22.4,43.00895819
23.1,43.48056236
23.2,43.96056236
23.3,44.43522903
23.4,44.90724986
24.1,45.38189569
24.2,45.86456236
24.3,46.33714569
24.4,46.82547903
25.1,47.30172903
25.2,47.78004153
25.3,48.25733319
25.4,48.73797903
26.1,49.21389569
26.2,49.69422903
26.3,50.16672903
26.4,50.65122903
27.1,51.12856236
27.2,51.61356236
27.3,52.09233319
27.4,52.56579153
28.1,53.04860403
28.2,53.52395819
28.3,53.99922903
28.4,54.48056236
29.1,54.95256236
29.2,55.43522903
29.3,55.90704153
29.4,56.37922903
30.1,56.85297903
30.2,57.33656236
30.3,57.81122903
30.4,58.28922903
31.1,58.76266653
31.2,59.23985403
31.3,59.70485403
31.4,60.19522903
32.1,60.67422903
32.2,61.15329153
32.3,61.62204153
32.4,62.10189569
33.1,62.58297903
33.2,63.05922903
33.3,63.53922903
33.4,64.01172903
34.1,64.48322903
34.2,64.95789569
34.3,65.42989569
34.4,65.90829153
35.1,66.39522903
35.2,66.87860403
35.3,67.36056236
35.4,67.84610403
36.1,68.32329153
36.2,68.80589569
36.3,69.28420819
36.4,69.75522903
37.1,70.23256236
37.2,70.71110403
37.3,71.18189569
37.4,71.66456236
38.1,72.13985403
38.2,72.61610403
38.3,73.08589569
38.4,73.55922903
39.1,74.02989569
39.2,74.50189569
39.3,74.97389569
39.4,75.43789569
40.1,75.91704153
40.2,76.38766653
40.3,76.85360403
40.4,77.32422903
41.1,77.80610403
41.2,78.28047903
41.3,78.74456236
41.4,79.21922903
42.1,79.69922903
42.2,80.17422903
42.3,80.63454153
42.4,81.11922903
43.1,81.58722903
43.2,82.05766653
43.3,82.54131236
43.4,83.02047903
44.1,83.49389569
44.2,83.97814569
44.3,84.45122903
44.4,84.92589569
45.1,85.40664569
45.2,85.87789569
45.3,86.35522903
45.4,86.83610403
46.1,87.31329153
46.2,87.79141653
46.3,88.26391653
46.4,88.72797903
47.1,89.19860403
47.2,89.68056236
47.3,90.15485403
47.4,90.62456236
48.1,91.10722903
48.2,91.57891653
48.3,92.04056236
48.4,92.51454153
49.1,92.98422903
49.2,93.45122903
49.3,93.91797903
49.4,94.38989569
50.1,94.86579153
50.2,95.33547903
50.3,95.81043736
50.4,96.29266653
51.1,96.77172903
51.2,97.23672903
51.3,97.71522903
51.4,98.19016653
52.1,98.67766653
52.2,99.15579153
52.3,99.63297903
52.4,100.107229
53.1,100.583604
53.2,101.057979
53.3,101.532354
53.4,102.0085624
54.1,102.4876665
54.2,102.968604
54.3,103.443229
54.4,103.9201665
55.1,104.387979
55.2,104.875229
55.3,105.3578957
55.4,105.8345415
56.1,106.3145415
56.2,106.787229
56.3,107.2618957
56.4,107.7338957
57.1,108.2064165
57.2,108.691229
57.3,109.171104
57.4,109.659229
58.1,110.1282915
58.2,110.607354
58.3,111.083229
58.4,111.5525624
59.1,112.0351665
59.2,112.5098957
59.3,112.9820415
59.4,113.447979
60.1,113.927979
60.2,114.398604
60.3,114.875229
60.4,115.345479
61.1,115.819854
61.2,116.2885624
61.3,116.761104
61.4,117.2364165
62.1,117.7051665
62.2,118.186104
62.3,118.6539165
62.4,119.119854
63.1,119.592354
63.2,120.0732915
63.3,120.544854
63.4,121.015479
64.1,121.4938957
64.2,121.962354
64.3,122.436729
64.4,122.9139165
65.1,123.4051665
65.2,123.8814165
65.3,124.363229
65.4,124.8470415
66.1,125.3251665
66.2,125.7920415
66.3,126.271104
66.4,126.747229
67.1,127.2170415
67.2,127.696104
67.3,128.179854
67.4,128.654229
68.1,129.1407915
68.2,129.617979
68.3,130.092354
68.4,130.5695415
69.1,131.0570415
69.2,131.5351665
69.3,132.008604
69.4,132.484854
70.1,132.9564165
70.2,133.4232915
70.3,133.8901665
70.4,134.371229
